Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
0,0.003399842161509045,0,3,0,3,0,0.03055929595827604,0,1.168738928739389,0,0.03055929594442798,0,2.999996868876525,0,2.999996868880356
4.8828125e-12,0.00339981525312542,4.8828125e-12,3,4.8828125e-12,2.9970703125,4.8828125e-12,0.030559117106117,4.8828125e-12,1.168738928732798,4.8828125e-12,0.03055929594446129,4.8828125e-12,2.99999686887653,4.8828125e-12,2.999996868880356
1.46484375e-11,0.003399782864193608,1.46484375e-11,3,1.46484375e-11,2.9912109375,1.46484375e-11,0.03055852370193774,1.46484375e-11,1.168738928711604,1.46484375e-11,0.03055929594452695,1.46484375e-11,2.999996868876539,1.46484375e-11,2.999996868880356
3.417968750000001e-11,0.003399738998670036,3.417968750000001e-11,3,3.417968750000001e-11,2.9794921875,3.417968750000001e-11,0.03055732154882436,3.417968750000001e-11,1.168738928670308,3.417968750000001e-11,0.0305592959446566,3.417968750000001e-11,2.999996868876557,3.417968750000001e-11,2.999996868880356
7.324218750000002e-11,0.003399684095432613,7.324218750000002e-11,3,7.324218750000002e-11,2.9560546875,7.324218750000002e-11,0.03055540771688786,7.324218750000002e-11,1.168738928614343,7.324218750000002e-11,0.03055929594490703,7.324218750000002e-11,2.999996868876587,7.324218750000002e-11,2.999996868880356
1.513671875000001e-10,0.003399682639735092,1.513671875000001e-10,3,1.513671875000001e-10,2.9091796875,1.513671875000001e-10,0.03055277411115024,1.513671875000001e-10,1.168738928567389,1.513671875000001e-10,0.03055929594537035,1.513671875000001e-10,2.999996868876629,1.513671875000001e-10,2.999996868880356
3.076171875000001e-10,0.003399798247188228,3.076171875000001e-10,3,3.076171875000001e-10,2.8154296875,3.076171875000001e-10,0.03055084506037892,3.076171875000001e-10,1.168738928617226,3.076171875000001e-10,0.03055929594614497,3.076171875000001e-10,2.999996868876668,3.076171875000001e-10,2.999996868880356
6.201171875000003e-10,0.003399614316371118,6.201171875000003e-10,3,6.201171875000003e-10,2.6279296875,6.201171875000003e-10,0.03055316598004219,6.201171875000003e-10,1.168738928827901,6.201171875000003e-10,0.03055929594715472,6.201171875000003e-10,2.999996868876661,6.201171875000003e-10,2.999996868880356
1.04065024945051e-09,0.003398061637226864,1.04065024945051e-09,3,1.04065024945051e-09,2.375609850329694,1.04065024945051e-09,0.03055924869552193,1.04065024945051e-09,1.168738928922182,1.04065024945051e-09,0.03055929594766652,1.04065024945051e-09,2.999996868876604,1.04065024945051e-09,2.999996868880356
1.589338493320617e-09,0.003394233479786778,1.589338493320617e-09,3,1.589338493320617e-09,2.04639690400763,1.589338493320617e-09,0.03056418577988216,1.589338493320617e-09,1.16873892877739,1.589338493320617e-09,0.03055929594751429,1.589338493320617e-09,2.999996868876541,1.589338493320617e-09,2.999996868880356
