Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/Z X,/Z Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y
0,0.003040069035528371,0,3,0,3,0,1.425158793469306,0,1.425156459950769,0,1.425158793487979,0,1.425158793469306,0,1.425158793469306
4.8828125e-12,0.003040051378829715,4.8828125e-12,3,4.8828125e-12,2.9970703125,4.8828125e-12,1.425158793469306,4.8828125e-12,1.425154162509551,4.8828125e-12,1.425158791808667,4.8828125e-12,1.425158793468078,4.8828125e-12,1.425158793469305
1.46484375e-11,0.003040042069992594,1.46484375e-11,3,1.46484375e-11,2.9912109375,1.46484375e-11,1.425158793469306,1.46484375e-11,1.425146137165605,1.46484375e-11,1.425158786126584,1.46484375e-11,1.425158793464057,1.46484375e-11,1.425158793469302
3.417968750000001e-11,0.003040030717300313,3.417968750000001e-11,3,3.417968750000001e-11,2.9794921875,3.417968750000001e-11,1.425158793469306,3.417968750000001e-11,1.425129429316993,3.417968750000001e-11,1.42515877475394,3.417968750000001e-11,1.425158793456335,3.417968750000001e-11,1.425158793469296
7.324218750000002e-11,0.003039999862073966,7.324218750000002e-11,3,7.324218750000002e-11,2.9560546875,7.324218750000002e-11,1.425158793469306,7.324218750000002e-11,1.425100008200908,7.324218750000002e-11,1.425158757555334,7.324218750000002e-11,1.42515879344661,7.324218750000002e-11,1.425158793469291
1.513671875000001e-10,0.00303993710870307,1.513671875000001e-10,3,1.513671875000001e-10,2.9091796875,1.513671875000001e-10,1.425158793469306,1.513671875000001e-10,1.425050720096941,1.513671875000001e-10,1.425158738232329,1.513671875000001e-10,1.425158793441923,1.513671875000001e-10,1.425158793469293
3.076171875000001e-10,0.003039794264287885,3.076171875000001e-10,3,3.076171875000001e-10,2.8154296875,3.076171875000001e-10,1.425158793469306,3.076171875000001e-10,1.424985733288922,3.076171875000001e-10,1.42515874237521,3.076171875000001e-10,1.4251587934641,3.076171875000001e-10,1.425158793469314
6.201171875000003e-10,0.003039389866761794,6.201171875000003e-10,3,6.201171875000003e-10,2.6279296875,6.201171875000003e-10,1.425158793469306,6.201171875000003e-10,1.424949619416732,6.201171875000003e-10,1.425158821084218,6.201171875000003e-10,1.425158793516112,6.201171875000003e-10,1.425158793469331
1.2451171875e-09,0.003037945634817422,1.2451171875e-09,3,1.2451171875e-09,2.2529296875,1.2451171875e-09,1.425158793469306,1.2451171875e-09,1.425059023690046,1.2451171875e-09,1.425158922436892,1.2451171875e-09,1.425158793472677,1.2451171875e-09,1.425158793469275
2.370520618457269e-09,0.003033512512187488,2.370520618457269e-09,3,2.370520618457269e-09,1.577687628925639,2.370520618457269e-09,1.425158793469306,2.370520618457269e-09,1.425354170768175,2.370520618457269e-09,1.425158720313344,2.370520618457269e-09,1.425158793387583,2.370520618457269e-09,1.425158793469314
3.762675629791279e-09,0.003029075261276533,3.762675629791279e-09,3,3.762675629791279e-09,0.7423946221252327,3.762675629791279e-09,1.425158793469305,3.762675629791279e-09,1.425523090372718,3.762675629791279e-09,1.425158502375528,3.762675629791279e-09,1.425158793601106,3.762675629791279e-09,1.42515879346934
5e-09,0.003024557301385344,5e-09,3,5e-09,0,5e-09,1.425158793469305,5e-09,1.425608728982804,5e-09,1.425158768354562,5e-09,1.425158793534411,5e-09,1.425158793469203
5.312104813140681e-09,0.003019870875684671,5.312104813140681e-09,3,5.312104813140681e-09,0,5.312104813140681e-09,1.425158793469305,5.312104813140681e-09,1.425681676906771,5.312104813140681e-09,1.425158886779448,5.312104813140681e-09,1.425158793415013,5.312104813140681e-09,1.425158793469233
5.790447549747255e-09,0.003013043992646093,5.790447549747255e-09,3,5.790447549747255e-09,0,5.790447549747255e-09,1.425158793469305,5.790447549747255e-09,1.425686621364748,5.790447549747255e-09,1.425159021609026,5.790447549747255e-09,1.425158793220044,5.790447549747255e-09,1.425158793469319
6.213004378238778e-09,0.003007413160079091,6.213004378238778e-09,3,6.213004378238778e-09,0,6.213004378238778e-09,1.425158793469305,6.213004378238778e-09,1.425554195545476,6.213004378238778e-09,1.425159142012144,6.213004378238778e-09,1.425158793094981,6.213004378238778e-09,1.425158793469453
7.058118035221823e-09,0.00299715663712982,7.058118035221823e-09,3,7.058118035221823e-09,0,7.058118035221823e-09,1.425158793469305,7.058118035221823e-09,1.425149516117532,7.058118035221823e-09,1.425159574239377,7.058118035221823e-09,1.425158793026179,7.058118035221823e-09,1.425158793469579
8.748345349187912e-09,0.002983024907934812,8.748345349187912e-09,3,8.748345349187912e-09,0,8.748345349187912e-09,1.425158793469306,8.748345349187912e-09,1.424275753740711,8.748345349187912e-09,1.425160147732197,8.748345349187912e-09,1.425158793431169,8.748345349187912e-09,1.42515879346908
1.10309543183254e-08,0.00297730657862615,1.10309543183254e-08,3,1.10309543183254e-08,0,1.10309543183254e-08,1.425158793469306,1.10309543183254e-08,1.423432795573713,1.10309543183254e-08,1.425158868381031,1.10309543183254e-08,1.425158795382656,1.10309543183254e-08,1.425158793468522
1.43125906893529e-08,0.002981820727082842,1.43125906893529e-08,3,1.43125906893529e-08,0,1.43125906893529e-08,1.425158793469305,1.43125906893529e-08,1.42278493653127,1.43125906893529e-08,1.425154813660644,1.43125906893529e-08,1.42515879519499,1.43125906893529e-08,1.425158793471609
1.667209752568918e-08,0.002994678282081843,1.667209752568918e-08,3,1.667209752568918e-08,0,1.667209752568918e-08,1.425158793469308,1.667209752568918e-08,1.422343343579326,1.667209752568918e-08,1.425152365203063,1.667209752568918e-08,1.425158789103663,1.667209752568918e-08,1.4251587934748
2.031043777227188e-08,0.003025738380107588,2.031043777227188e-08,3,2.031043777227188e-08,0,2.031043777227188e-08,1.425158793469317,2.031043777227188e-08,1.421786103906967,2.031043777227188e-08,1.425150009679014,2.031043777227188e-08,1.425158775693898,2.031043777227188e-08,1.42515879346165
2.425354769848745e-08,0.003064892608642043,2.425354769848745e-08,3,2.425354769848745e-08,0,2.425354769848745e-08,1.425158793469273,2.425354769848745e-08,1.421079721629376,2.425354769848745e-08,1.425147815844363,2.425354769848745e-08,1.425158765112148,2.425354769848745e-08,1.425158793420547
2.897138083970092e-08,0.003102816471855942,2.897138083970092e-08,3,2.897138083970092e-08,0,2.897138083970092e-08,1.42515879346909,2.897138083970092e-08,1.419494244201973,2.897138083970092e-08,1.425144250994048,2.897138083970092e-08,1.425158755813132,2.897138083970092e-08,1.4251587933729
3.33791249799185e-08,0.003115463706299512,3.33791249799185e-08,3,3.33791249799185e-08,0,3.33791249799185e-08,1.42515879346888,3.33791249799185e-08,1.417011358001401,3.33791249799185e-08,1.425137880066681,3.33791249799185e-08,1.425158742318912,3.33791249799185e-08,1.425158793340349
3.857745404767277e-08,0.003099247687014355,3.857745404767277e-08,3,3.857745404767277e-08,0,3.857745404767277e-08,1.425158793468634,3.857745404767277e-08,1.41258972703307,3.857745404767277e-08,1.425124016601156,3.857745404767277e-08,1.42515870923312,3.857745404767277e-08,1.425158793273743
4.321535506867442e-08,0.003073836778127735,4.321535506867442e-08,3,4.321535506867442e-08,0,4.321535506867442e-08,1.42515879346823,4.321535506867442e-08,1.407122496978507,4.321535506867442e-08,1.425104169847628,4.321535506867442e-08,1.425158653898618,4.321535506867442e-08,1.425158793147386
4.729415877728619e-08,0.003056449671831928,4.729415877728619e-08,3,4.729415877728619e-08,0,4.729415877728619e-08,1.425158793467524,4.729415877728619e-08,1.400286795026479,4.729415877728619e-08,1.425078764614722,4.729415877728619e-08,1.42515857709909,4.729415877728619e-08,1.425158792951321
5.097972623495242e-08,0.003047289835753536,5.097972623495242e-08,3,5.097972623495242e-08,0,5.097972623495242e-08,1.425158793466448,5.097972623495242e-08,1.391593225875858,5.097972623495242e-08,1.42504618491006,5.097972623495242e-08,1.425158476278337,5.097972623495242e-08,1.425158792677076
5.747843506565854e-08,0.003040153824834287,5.747843506565854e-08,3,5.747843506565854e-08,0,5.747843506565854e-08,1.425158793462705,5.747843506565854e-08,1.365583216585364,5.747843506565854e-08,1.424946981653503,5.747843506565854e-08,1.425158165553161,5.747843506565854e-08,1.425158791808127
6.446544073457927e-08,0.003039448049979976,6.446544073457927e-08,3,6.446544073457927e-08,0,6.446544073457927e-08,1.425158793453526,6.446544073457927e-08,1.313104356738485,6.446544073457927e-08,1.424735309784441,6.446544073457927e-08,1.425157475174987,6.446544073457927e-08,1.425158789827773
6.960835110657064e-08,0.003040619547544957,6.960835110657064e-08,3,6.960835110657064e-08,0,6.960835110657064e-08,1.425158793440164,6.960835110657064e-08,1.24861862327911,6.960835110657064e-08,1.424463264922581,6.960835110657064e-08,1.425156546741843,6.960835110657064e-08,1.425158787084124
7.565845139593954e-08,0.003041545711958844,7.565845139593954e-08,3,7.565845139593954e-08,0,7.565845139593954e-08,1.425158793409288,7.565845139593954e-08,1.125271725890023,7.565845139593954e-08,1.423924947477291,7.565845139593954e-08,1.425154604779935,7.565845139593954e-08,1.425158781110128
8.331424248771488e-08,0.003042844699551844,8.331424248771488e-08,3,8.331424248771488e-08,0,8.331424248771488e-08,1.425158793318492,8.331424248771488e-08,0.8732206235584955,8.331424248771488e-08,1.422680980266536,8.331424248771488e-08,1.425149670535774,8.331424248771488e-08,1.425158765008633
9.278660903186073e-08,0.003046704701235669,9.278660903186073e-08,3,9.278660903186073e-08,0,9.278660903186073e-08,1.425158792992145,9.278660903186073e-08,0.4722891402072598,9.278660903186073e-08,1.419714627697342,9.278660903186073e-08,1.425135522046066,9.278660903186073e-08,1.425158714229267
1.021539639092627e-07,0.003048781173667287,1.021539639092627e-07,3,1.021539639092627e-07,0,1.021539639092627e-07,1.425158792023157,1.021539639092627e-07,0.1931834500504293,1.021539639092627e-07,1.413194367389466,1.021539639092627e-07,1.425101322522309,1.021539639092627e-07,1.425158581725791
1.08953928961979e-07,0.00304744159791993,1.08953928961979e-07,3,1.08953928961979e-07,0,1.08953928961979e-07,1.425158790379645,1.08953928961979e-07,0.1172284251036904,1.08953928961979e-07,1.403381591531345,1.08953928961979e-07,1.425049344949167,1.08953928961979e-07,1.425158374052656
1.167239662994269e-07,0.00304972588612886,1.167239662994269e-07,3,1.167239662994269e-07,0,1.167239662994269e-07,1.425158786055824,1.167239662994269e-07,0.06990260233055769,1.167239662994269e-07,1.381453043978045,1.167239662994269e-07,1.424926334620359,1.167239662994269e-07,1.425157866555551
1.242675315147085e-07,0.00305178742003348,1.242675315147085e-07,3,1.242675315147085e-07,0,1.242675315147085e-07,1.425158776270576,1.242675315147085e-07,0.0543493805849841,1.242675315147085e-07,1.339050619908593,1.242675315147085e-07,1.424678512483147,1.242675315147085e-07,1.425156801097189
1.353251167865221e-07,0.003053252892544724,1.353251167865221e-07,3,1.353251167865221e-07,0,1.353251167865221e-07,1.425158729414127,1.353251167865221e-07,0.04465102627413955,1.353251167865221e-07,1.183129904876383,1.353251167865221e-07,1.423707322417753,1.353251167865221e-07,1.425152334794638
1.42662558393261e-07,0.003053423517839785,1.42662558393261e-07,3,1.42662558393261e-07,0,1.42662558393261e-07,1.425158650841856,1.42662558393261e-07,0.04391684896841056,1.42662558393261e-07,0.976576918252446,1.42662558393261e-07,1.422313690820901,1.42662558393261e-07,1.425145481003512
1.5e-07,0.003054736407231901,1.5e-07,3,1.5e-07,0,1.5e-07,1.425158477665639,1.5e-07,0.0433194255203577,1.5e-07,0.6934157937829191,1.5e-07,1.419707969069937,1.5e-07,1.42513168256745
1.505427691393699e-07,0.003046443431325911,1.505427691393699e-07,2.674338516378066,1.505427691393699e-07,0,1.505427691393699e-07,1.420941628272164,1.505427691393699e-07,0.03886980110385759,1.505427691393699e-07,0.6678605317584098,1.505427691393699e-07,1.415778738858177,1.505427691393699e-07,1.421500517343234
1.514338113471136e-07,0.003032471297628049,1.514338113471136e-07,2.139713191731817,1.514338113471136e-07,0,1.514338113471136e-07,1.417292232523017,1.514338113471136e-07,0.03583114423313884,1.514338113471136e-07,0.6276731733722783,1.514338113471136e-07,1.411853062489994,1.514338113471136e-07,1.418171613521047
1.526178194326523e-07,0.002991076448688253,1.526178194326523e-07,1.429308340408627,1.526178194326523e-07,0,1.526178194326523e-07,1.418168136067566,1.526178194326523e-07,0.03835749132655757,1.526178194326523e-07,0.5759387706465271,1.526178194326523e-07,1.411323078880311,1.526178194326523e-07,1.418592905057483
1.538089097163261e-07,0.002955523950442798,1.538089097163261e-07,0.7146541702043119,1.538089097163261e-07,0,1.538089097163261e-07,1.419791360018264,1.538089097163261e-07,0.04074233507769492,1.538089097163261e-07,0.5213546828523354,1.538089097163261e-07,1.411853858942118,1.538089097163261e-07,1.419975298648809
1.55e-07,0.00292290517468229,1.55e-07,0,1.55e-07,0,1.55e-07,1.425217182385747,1.55e-07,0.0467037371470812,1.55e-07,0.4701689986177666,1.55e-07,1.416067728364021,1.55e-07,1.424800348958431
1.553065423640933e-07,0.002894180988648183,1.553065423640933e-07,0,1.553065423640933e-07,0,1.553065423640933e-07,1.429316733663911,1.553065423640933e-07,0.05097892247732775,1.553065423640933e-07,0.4607071891326634,1.553065423640933e-07,1.419617191709904,1.553065423640933e-07,1.428408817470165
