/Z (Vbias=5) X,/Z (Vbias=5) Y,/Z (Vbias=6) X,/Z (Vbias=6) Y,/Z (Vbias=7) X,/Z (Vbias=7) Y,/Z (Vbias=8) X,/Z (Vbias=8) Y,/Z (Vbias=9) X,/Z (Vbias=9) Y,/Z (Vbias=10) X,/Z (Vbias=10) Y,/Z (Vbias=11) X,/Z (Vbias=11) Y,/Z (Vbias=12) X,/Z (Vbias=12) Y,/w_B (Vbias=5) X,/w_B (Vbias=5) Y,/w_B (Vbias=6) X,/w_B (Vbias=6) Y,/w_B (Vbias=7) X,/w_B (Vbias=7) Y,/w_B (Vbias=8) X,/w_B (Vbias=8) Y,/w_B (Vbias=9) X,/w_B (Vbias=9) Y,/w_B (Vbias=10) X,/w_B (Vbias=10) Y,/w_B (Vbias=11) X,/w_B (Vbias=11) Y,/w_B (Vbias=12) X,/w_B (Vbias=12) Y,/w_A (Vbias=5) X,/w_A (Vbias=5) Y,/w_A (Vbias=6) X,/w_A (Vbias=6) Y,/w_A (Vbias=7) X,/w_A (Vbias=7) Y,/w_A (Vbias=8) X,/w_A (Vbias=8) Y,/w_A (Vbias=9) X,/w_A (Vbias=9) Y,/w_A (Vbias=10) X,/w_A (Vbias=10) Y,/w_A (Vbias=11) X,/w_A (Vbias=11) Y,/w_A (Vbias=12) X,/w_A (Vbias=12) Y
0,4.955269785227294,0,4.999997746996232,0,4.99999932873263,0,4.999999634441902,0,4.999999756233069,0,4.999999820227362,0,4.999999859072216,0,4.999999884949476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5625e-10,5.189617266273864,1.5625e-10,5.211194076161818,1.5625e-10,5.171548686433382,1.5625e-10,5.140940491897938,1.5625e-10,5.118138852267532,1.5625e-10,5.100831650986194,1.5625e-10,5.087436036031761,1.5625e-10,5.076836055790686,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.3125,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625,1.5625e-10,0.15625
3.207804127471575e-10,5.435986551311522,3.364810335895292e-10,5.386923458705106,3.509194486013407e-10,5.296644226342423,3.643585365109995e-10,5.231913885401718,3.769809034067274e-10,5.186623832869091,3.889195091084133e-10,5.153062756724538,3.889195091084133e-10,5.128018243184842,3.889195091084133e-10,5.110133242882217,3.207804127471575e-10,0.6415608254943149,3.364810335895292e-10,0.6729620671790585,3.509194486013407e-10,0.7018388972026813,3.643585365109995e-10,0.7287170730219988,3.769809034067274e-10,0.7539618068134547,3.889195091084133e-10,0.7778390182168267,3.889195091084133e-10,0.7778390182168267,3.889195091084133e-10,0.7778390182168267,3.207804127471575e-10,0.3207804127471575,3.364810335895292e-10,0.3364810335895292,3.509194486013407e-10,0.3509194486013407,3.643585365109995e-10,0.3643585365109994,3.769809034067274e-10,0.3769809034067274,3.889195091084133e-10,0.3889195091084133,3.889195091084133e-10,0.3889195091084133,3.889195091084133e-10,0.3889195091084133
6.498412382414724e-10,5.890869824526548,5.52089871353358e-10,5.585255283307602,5.781888374486016e-10,5.416225629011294,7.114616326140615e-10,5.324586050346547,7.496277146363202e-10,5.243377761082361,6.676936745435138e-10,5.185044135707819,6.751835725432077e-10,5.150402195708558,6.870454389677714e-10,5.125371265522872,6.498412382414724e-10,1.299682476482945,5.52089871353358e-10,1.104179742706716,5.781888374486016e-10,1.156377674897203,7.114616326140615e-10,1.422923265228123,7.496277146363202e-10,1.499255429272641,6.676936745435138e-10,1.335387349087028,6.751835725432077e-10,1.350367145086415,6.870454389677714e-10,1.374090877935543,6.498412382414724e-10,0.6498412382414723,5.52089871353358e-10,0.552089871353358,5.781888374486016e-10,0.5781888374486015,7.114616326140615e-10,0.7114616326140615,7.496277146363202e-10,0.7496277146363203,6.676936745435138e-10,0.6676936745435138,6.751835725432077e-10,0.6751835725432077,6.870454389677714e-10,0.6870454389677715
9.363912045055418e-10,6.239917390036242,7.555340963223459e-10,5.747870321192318,7.921293888812305e-10,5.486053813656227,9.549135141380356e-10,5.337314855950319,1.011813707958228e-09,5.239729595286737,9.320903628135876e-10,5.183050395412645,9.47265352746655e-10,5.145750813875889,9.706655641090358e-10,5.119857351382031,9.363912045055418e-10,1.872782409011084,7.555340963223459e-10,1.511068192644692,7.921293888812305e-10,1.584258777762461,9.549135141380356e-10,1.909827028276071,1.011813707958228e-09,2.023627415916457,9.320903628135876e-10,1.864180725627175,9.47265352746655e-10,1.89453070549331,9.706655641090358e-10,1.941331128218071,9.363912045055418e-10,0.9363912045055418,7.555340963223459e-10,0.7555340963223459,7.921293888812305e-10,0.7921293888812304,9.549135141380356e-10,0.9549135141380355,1.011813707958228e-09,1.011813707958228,9.320903628135876e-10,0.9320903628135877,9.47265352746655e-10,0.947265352746655,9.706655641090358e-10,0.9706655641090357
1.509491137033681e-09,6.834124625361619,1.150637938936247e-09,5.984275792990374,1.190506586151533e-09,5.540721154434783,1.441817277185984e-09,5.324235449827396,1.536185694602045e-09,5.219095332711433,1.460883739353735e-09,5.170307092419882,1.49142891315355e-09,5.134790989704802,1.537905814391565e-09,5.109688167266574,1.509491137033681e-09,3.018982274067361,1.150637938936247e-09,2.301275877872494,1.190506586151533e-09,2.381013172303066,1.441817277185984e-09,2.883634554371967,1.536185694602045e-09,3.072371389204089,1.460883739353735e-09,2.921767478707471,1.49142891315355e-09,2.9828578263071,1.537905814391565e-09,3.075811628783129,1.509491137033681e-09,1.509491137033681,1.150637938936247e-09,1.150637938936247,1.190506586151533e-09,1.190506586151533,1.441817277185984e-09,1.441817277185984,1.536185694602045e-09,1.536185694602045,1.460883739353735e-09,1.460883739353735,1.49142891315355e-09,1.49142891315355,1.537905814391565e-09,1.537905814391564
1.913944205150523e-09,7.115692542806692,1.572018200364653e-09,6.111094547615036,1.617887054017648e-09,5.524749891372927,1.882139792196908e-09,5.282519263276053,2.021159911065227e-09,5.17486272329715,1.962274728813473e-09,5.140412152953632,2.032713847369162e-09,5.103739386213243,2.018952907195782e-09,5.083932204228568,1.913944205150523e-09,3.827888410301046,1.572018200364653e-09,3.144036400729306,1.617887054017648e-09,3.235774108035295,1.882139792196908e-09,3.764279584393817,2.021159911065227e-09,4.042319822130453,1.962274728813473e-09,3.924549457626946,2.032713847369162e-09,4.065427694738325,2.018952907195782e-09,4.037905814391565,1.913944205150523e-09,1.913944205150523,1.572018200364653e-09,1.572018200364653,1.617887054017648e-09,1.617887054017648,1.882139792196908e-09,1.882139792196908,2.021159911065227e-09,2.021159911065226,1.962274728813473e-09,1.962274728813473,2.032713847369162e-09,2.032713847369163,2.018952907195782e-09,2.018952907195783
2.206972102575262e-09,7.17509359161664,2.08943130203146e-09,6.060895278456905,2.088704798599997e-09,5.432989791307436,2.191069896098454e-09,5.22559387154588,2.5e-09,5.067689294217725,2.231137364406737e-09,5.105095489309979,2.5e-09,5.028444902248033,2.5e-09,5.015983288096081,2.206972102575262e-09,4.413944205150523,2.08943130203146e-09,4.178862604062919,2.088704798599997e-09,4.177409597199993,2.191069896098454e-09,4.382139792196909,2.5e-09,5,2.231137364406737e-09,4.462274728813473,2.5e-09,5,2.5e-09,5,2.206972102575262e-09,2.206972102575262,2.08943130203146e-09,2.08943130203146,2.088704798599997e-09,2.088704798599997,2.191069896098454e-09,2.191069896098454,2.5e-09,2.5,2.231137364406737e-09,2.231137364406737,2.5e-09,2.5,2.5e-09,2.5
2.5e-09,7.056169546823331,2.5e-09,5.819432671233053,2.5e-09,5.263668954660316,2.5e-09,5.12793594331625,2.640666285298527e-09,4.913082405696391,2.5e-09,5.046083024675089,2.635845963264481e-09,4.910993707425473,2.640622593029863e-09,4.90807316317377,2.5e-09,5,2.5e-09,5,2.5e-09,5,2.5e-09,5,2.640666285298527e-09,5,2.5e-09,5,2.635845963264481e-09,5,2.640622593029863e-09,5,2.5e-09,2.5,2.5e-09,2.5,2.5e-09,2.5,2.5e-09,2.5,2.640666285298527e-09,2.640666285298527,2.5e-09,2.5,2.635845963264481e-09,2.635845963264481,2.640622593029863e-09,2.640622593029863
2.593056357029776e-09,6.85755657104684,2.580335404908287e-09,5.655798102992614,2.58510656105912e-09,5.127852355730131,2.580007358737677e-09,5.017409381495658,2.840066280953161e-09,4.735550008282151,2.581523740971924e-09,4.955752192621046,2.838210367111219e-09,4.785921516444848,2.842525740089402e-09,4.802948596885119,2.593056357029776e-09,5,2.580335404908287e-09,5,2.58510656105912e-09,5,2.580007358737677e-09,5,2.840066280953161e-09,5,2.581523740971924e-09,5,2.838210367111219e-09,5,2.842525740089402e-09,5,2.593056357029776e-09,2.593056357029777,2.580335404908287e-09,2.580335404908287,2.58510656105912e-09,2.58510656105912,2.580007358737677e-09,2.580007358737677,2.840066280953161e-09,2.840066280953161,2.581523740971924e-09,2.581523740971924,2.838210367111219e-09,2.838210367111219,2.842525740089402e-09,2.842525740089402
