/Z (w23=1e-05) X,/Z (w23=1e-05) Y,/Z (w23=2e-05) X,/Z (w23=2e-05) Y,/Z (w23=3e-05) X,/Z (w23=3e-05) Y,/w_A (w23=1e-05) X,/w_A (w23=1e-05) Y,/w_A (w23=2e-05) X,/w_A (w23=2e-05) Y,/w_A (w23=3e-05) X,/w_A (w23=3e-05) Y,/w_B (w23=1e-05) X,/w_B (w23=1e-05) Y,/w_B (w23=2e-05) X,/w_B (w23=2e-05) Y,/w_B (w23=3e-05) X,/w_B (w23=3e-05) Y
0,2.99999741821917,0,2.999997391410473,0,2.999997372018474,0,0,0,0,0,0,0,0,0,0,0,0
1.5625e-10,3.158590624179885,1.5625e-10,3.160929024069686,1.5625e-10,3.162226567845636,1.5625e-10,0.09375000000000001,1.5625e-10,0.09375000000000001,1.5625e-10,0.09375000000000001,1.5625e-10,0.1875,1.5625e-10,0.1875,1.5625e-10,0.1875
3.889272638539987e-10,3.348894251957072,3.889272638539987e-10,3.356123762425647,3.889272638539987e-10,3.360662311623549,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.2333563583123992,3.889272638539987e-10,0.4667127166247984,3.889272638539987e-10,0.4667127166247984,3.889272638539987e-10,0.4667127166247984
7.794746403255435e-10,3.624954690111632,7.812359795626735e-10,3.637967781529505,7.830986415201318e-10,3.646829756682948,7.794746403255435e-10,0.4676847841953261,7.812359795626735e-10,0.468741587737604,7.830986415201318e-10,0.4698591849120791,7.794746403255435e-10,0.9353695683906522,7.812359795626735e-10,0.9374831754752081,7.830986415201318e-10,0.9397183698241581
1.107430194302428e-09,3.794467956555243,1.120781709804189e-09,3.809897354122882,1.132904409566385e-09,3.821168048710734,1.107430194302428e-09,0.664458116581457,1.120781709804189e-09,0.6724690258825137,1.132904409566385e-09,0.6797426457398307,1.107430194302428e-09,1.328916233162914,1.120781709804189e-09,1.344938051765027,1.132904409566385e-09,1.359485291479661
1.660704215085247e-09,3.976105787652425,1.657868644029032e-09,3.967725426885333,1.662073330066423e-09,3.96397300109598,1.660704215085247e-09,0.9964225290511484,1.657868644029032e-09,0.9947211864174191,1.662073330066423e-09,0.9972439980398535,1.660704215085247e-09,1.992845058102297,1.657868644029032e-09,1.989442372834838,1.662073330066423e-09,1.994487996079707
2.080352107542624e-09,4.043506512701435,2.078934322014516e-09,4.013282620991277,2.081036665033211e-09,3.995233652223441,2.080352107542624e-09,1.248211264525574,2.078934322014516e-09,1.24736059320871,2.081036665033211e-09,1.248621999019927,2.080352107542624e-09,2.496422529051148,2.078934322014516e-09,2.494721186417419,2.081036665033211e-09,2.497243998039854
2.5e-09,4.062256476576458,2.5e-09,4.006933977336227,2.5e-09,3.974143706810283,2.5e-09,1.5,2.5e-09,1.5,2.5e-09,1.5,2.5e-09,3,2.5e-09,3,2.5e-09,3
2.650593283083247e-09,3.912841720536718,2.651503659203199e-09,3.848372157387457,2.651734115835984e-09,3.810756028193,2.650593283083247e-09,1.590355969849948,2.651503659203199e-09,1.59090219552192,2.651734115835984e-09,1.59104046950159,2.650593283083247e-09,3,2.651503659203199e-09,3,2.651734115835984e-09,3
2.850162043215118e-09,3.729459408861205,2.854880441595142e-09,3.65428810424359,2.856693532855953e-09,3.611428368319678,2.850162043215118e-09,1.710097225929071,2.854880441595142e-09,1.712928264957085,2.856693532855953e-09,1.714016119713572,2.850162043215118e-09,3,2.854880441595142e-09,3,2.856693532855953e-09,3
