Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,/net1 (inv_lM0=4e-06) X,/net1 (inv_lM0=4e-06) Y,/net1 (inv_lM0=8e-06) X,/net1 (inv_lM0=8e-06) Y
1.983370019919365e-07,0.00202556772672113,1.986778852352133e-07,0.001386193029454116,1.252212885601753e-07,3752288.708902303,2.546733359068828e-07,1904296.180364391,1.983370019919365e-07,3.003571119455916,1.986778852352133e-07,0.03077648381016229,1.983370019919365e-07,0.1424456569585231,1.986778852352133e-07,2.999995759520178
2.006505809041787e-07,0.002026010619977653,2.009554334753944e-07,0.001397331455455545,3.917253018647754e-07,3763485.55735027,7.798017325876176e-07,1914226.151362781,2.006505809041787e-07,3.003385517248148,2.009554334753944e-07,0.03078837586350541,2.006505809041787e-07,0.1424547240448009,2.009554334753944e-07,2.999997017028334
2.032898901145255e-07,0.001997528580466681,2.037684173228398e-07,0.001401686603508529,6.574364318163575e-07,3763282.133857457,1.302206046878318e-06,1913077.681410683,2.032898901145255e-07,3.003190599208608,2.037684173228398e-07,0.03080415671054068,2.032898901145255e-07,0.1424637024319741,2.037684173228398e-07,2.999997434189026
2.054253888792931e-07,0.001973583312361477,2.065692597314744e-07,0.001395024024569353,9.231619247320256e-07,3762052.951058683,  ,  ,2.054253888792931e-07,3.003045013640304,2.065692597314744e-07,0.03081101139482675,2.054253888792931e-07,0.1424703758217184,2.065692597314744e-07,2.999996950320942
2.075382399993446e-07,0.001970661131490331,2.10302039252947e-07,0.00137228908547606,  ,  ,  ,  ,2.075382399993446e-07,3.0029106039097,2.10302039252947e-07,0.03086271512103208,2.075382399993446e-07,0.1424768152073316,2.10302039252947e-07,2.999999434077974
2.096890425975039e-07,0.00199512814336537,2.14298972443058e-07,0.001341773213555129,  ,  ,  ,  ,2.096890425975039e-07,3.002782585944443,2.14298972443058e-07,0.03066049414196581,2.096890425975039e-07,0.1424827073598143,2.14298972443058e-07,2.999984840793338
2.118755884994657e-07,0.002022294814867373,2.181156753414509e-07,0.001327805611230906,  ,  ,  ,  ,2.118755884994657e-07,3.002660812382416,2.181156753414509e-07,0.02847853898526826,2.118755884994657e-07,0.1424881247333146,2.181156753414509e-07,2.99987110665554
2.138563510237449e-07,0.002029505467880178,2.189978876442552e-07,0.001328209989044404,  ,  ,  ,  ,2.138563510237449e-07,3.002557168663198,2.189978876442552e-07,0.02771353989080761,2.138563510237449e-07,0.1424925555941238,2.189978876442552e-07,2.999848530617268
2.168953476135481e-07,0.002003259044878066,2.207623122498638e-07,0.001333268764832839,  ,  ,  ,  ,2.168953476135481e-07,3.002409430984312,2.207623122498638e-07,0.02648859219071866,2.168953476135481e-07,0.1424985782803141,2.207623122498638e-07,2.999849837526992
2.190383941201745e-07,0.001977322935014899,2.214161790391411e-07,0.001336313432115284,  ,  ,  ,  ,2.190383941201745e-07,3.002312801003003,2.214161790391411e-07,0.02627742401035774,2.190383941201745e-07,0.1425023486736162,2.214161790391411e-07,2.999874401396964
2.212054776213046e-07,0.00196905643031499,2.227239126176957e-07,0.001344015734617458,  ,  ,  ,  ,2.212054776213046e-07,3.002221503331895,2.227239126176957e-07,0.0271999033632651,2.212054776213046e-07,0.1425058943527301,2.227239126176957e-07,3.000021223055567
2.233648181155883e-07,0.001990508907342711,2.242095350878927e-07,0.00135496160461912,  ,  ,  ,  ,2.233648181155883e-07,3.002135364570769,2.242095350878927e-07,0.02886557833269674,2.233648181155883e-07,0.1425088247348768,2.242095350878927e-07,3.000142437467091
2.256041102243704e-07,0.002019686112054462,2.268535868047941e-07,0.001376026192178909,  ,  ,  ,  ,2.256041102243704e-07,3.002049842862835,2.268535868047941e-07,0.03121856311118413,2.256041102243704e-07,0.142511445193286,2.268535868047941e-07,3.000173022339248
2.274862941604665e-07,0.002029981493883867,2.289017087571992e-07,0.001389586452639746,  ,  ,  ,  ,2.274862941604665e-07,3.001973658972064,2.289017087571992e-07,0.03434398163736228,2.274862941604665e-07,0.1425131000280271,2.289017087571992e-07,3.000282281776611
2.296099774895342e-07,0.002018413350450601,2.314260984223243e-07,0.001399178163827387,  ,  ,  ,  ,2.296099774895342e-07,3.001876024684925,2.314260984223243e-07,0.04254805845720722,2.296099774895342e-07,0.1425161441569792,2.314260984223243e-07,3.000619715614194
2.318700289716644e-07,0.001990239736688375,2.344422838427277e-07,0.00139963492206984,  ,  ,  ,  ,2.318700289716644e-07,3.001750578076928,2.344422838427277e-07,0.06401308052696254,2.318700289716644e-07,0.1425223267854862,2.344422838427277e-07,3.001434041342018
