Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,freq (inv_wM3=5e-06) X,freq (inv_wM3=5e-06) Y,freq (inv_wM3=1e-05) X,freq (inv_wM3=1e-05) Y,freq (inv_wM3=1.5e-05) X,freq (inv_wM3=1.5e-05) Y,freq (inv_wM3=2e-05) X,freq (inv_wM3=2e-05) Y,freq (inv_wM3=2.5e-05) X,freq (inv_wM3=2.5e-05) Y,freq (inv_wM3=3e-05) X,freq (inv_wM3=3e-05) Y,freq (inv_wM3=3.5e-05) X,freq (inv_wM3=3.5e-05) Y,freq (inv_wM3=4e-05) X,freq (inv_wM3=4e-05) Y,freq (inv_wM3=4.5e-05) X,freq (inv_wM3=4.5e-05) Y,freq (inv_wM3=5e-05) X,freq (inv_wM3=5e-05) Y
0,0.00110683228566758,0,0.001147081290619763,0,0.001161553281449919,0,0.001168788041368276,0,0.001173134122798597,0,0.001176036896089542,0,0.001178114356779963,0,0.001179675370048304,0,0.001180891614740833,0,0.001181866193334546,0,2.999999097373288,0,2.999999184441832,0,2.999999185922538,0,2.999999186115674,0,2.999999186170767,0,2.999999186192332,0,2.999999186201876,0,2.999999186206016,0,2.999999186207342,0,2.999999186207042,1.949122384923494e-07,5075350.850149076,3.000402171657237e-07,3290144.851400542,4.103111761075568e-07,2411251.719452472,5.158261915362291e-07,1912403.739771038,6.194469726709041e-07,1598771.430315457,7.238073896739396e-07,1369843.334094812,8.296809305783874e-07,1198175.950340884,9.301714570750408e-07,1067705.464527455,1.030400054253133e-06,964302.8315643331,1.134409763405975e-06,876698.3087112283
2.9296875e-12,0.00110624595489304,2.9296875e-12,0.001146674083302922,2.9296875e-12,0.001161274897327722,1.171875e-11,0.001167592488481926,1.171875e-11,0.001172124252362593,1.171875e-11,0.001175186555497959,1.171875e-11,0.001177355294120711,1.171875e-11,0.001178989439415883,1.171875e-11,0.001180265848407077,1.171875e-11,0.001181290464886046,2.9296875e-12,2.998769823191887,2.9296875e-12,2.999306135339646,2.9296875e-12,2.999562092687738,1.171875e-11,2.998014544704367,1.171875e-11,2.998549008962491,1.171875e-11,2.999108480336884,1.171875e-11,2.999272366835037,1.171875e-11,2.999394222632613,1.171875e-11,2.999487658919164,1.171875e-11,2.999560566114583,3.919429521366342e-07,5074608.892344667,6.039782032316935e-07,3290645.325870467,8.250335345957332e-07,2410839.900870426,1.038728327316263e-06,1912400.02133811,1.244927251488926e-06,1597985.208036561,1.453817877085477e-06,1370123.26289255,1.664282893433257e-06,1198169.346932448,1.86675933942945e-06,1068031.760424914,  ,  ,  ,  
8.7890625e-12,0.001105513458349178,8.7890625e-12,0.001146144523536681,8.7890625e-12,0.001160837909330519,3.515625e-11,0.001166396007612661,3.515625e-11,0.001171110872224763,3.515625e-11,0.001174286952199982,3.515625e-11,0.001176562342072093,3.515625e-11,0.001178280824608893,3.515625e-11,0.001179625424574668,3.515625e-11,0.001180706616955722,8.7890625e-12,2.997318045875428,8.7890625e-12,2.998281890676169,8.7890625e-12,2.998816646337164,3.515625e-11,2.996268545164003,3.515625e-11,2.997193330552138,3.515625e-11,2.997854045203927,3.515625e-11,2.998239815783577,3.515625e-11,2.99852882925211,3.515625e-11,2.99875133557351,3.515625e-11,2.99892632952219,5.89002473611985e-07,5071853.038138754,9.078699633488286e-07,3290773.12681557,1.239826735769711e-06,2410361.143806417,1.561631479816909e-06,1912379.593493736,1.870715271910402e-06,1600431.979250021,2.183679216633015e-06,1370142.850702161,  ,  ,  ,  ,  ,  ,  ,  
2.05078125e-11,0.001104171610401863,2.05078125e-11,0.001145200230871953,2.05078125e-11,0.001160100044662556,8.203124999999998e-11,0.001164306223206212,8.203124999999998e-11,0.001169343759406494,8.203124999999998e-11,0.001172766452260334,8.203124999999998e-11,0.001175227114959511,8.203124999999998e-11,0.001177091135428816,8.203124999999998e-11,0.001178553086945401,8.203124999999998e-11,0.001179733739688365,2.05078125e-11,2.994695191778124,2.05078125e-11,2.996625558655149,2.05078125e-11,2.997663428520462,8.203124999999998e-11,2.993489060013808,8.203124999999998e-11,2.99502566756907,8.203124999999998e-11,2.996181712414197,8.203124999999998e-11,2.996893576511874,8.203124999999998e-11,2.997420811637129,8.203124999999998e-11,2.997823342105783,8.203124999999998e-11,2.998142320675466,7.861690698205722e-07,5067507.349174592,1.211749921481246e-06,3291008.90879646,1.654702325085265e-06,2411095.453818192,2.084540217915863e-06,1912330.614360051,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.639378010264306e-11,0.001102399815960465,3.780908842584938e-11,0.001143853105812889,4.394531249999999e-11,0.001158698126581859,1.258042982249045e-10,0.001162554041931095,1.276151037980871e-10,0.00116781830441173,1.293427316504887e-10,0.001171403602481582,1.307597780302086e-10,0.001174000612076441,1.32088293718083e-10,0.001175975698137683,1.333583232549385e-10,0.001177526036113081,1.345655940296175e-10,0.001178779696620649,3.639378010264306e-11,2.991165624392303,3.780908842584938e-11,2.994238976755536,4.394531249999999e-11,2.995488445706149,1.258042982249045e-10,2.991280659842622,1.276151037980871e-10,2.993310722584954,1.293427316504887e-10,2.994763181117955,1.307597780302086e-10,2.995731177707453,1.32088293718083e-10,2.996467663475789,1.333583232549385e-10,2.997012576074595,1.345655940296175e-10,2.997442085232142,9.835047481127571e-07,5069758.329708857,1.515608108351274e-06,3290239.549399402,2.069451562166032e-06,2412295.364306604,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
6.816571530792919e-11,0.001099060323905633,7.241164027754815e-11,0.001141333489791678,9.082031249999999e-11,0.001156135852325324,2.133503946747136e-10,0.001159420615779208,2.187828113942613e-10,0.001165101548527784,2.239656949514661e-10,0.001168993029868757,2.282168340906257e-10,0.001171836648917828,2.322023811542489e-10,0.001174005599022912,2.360124697648156e-10,0.001175717346284019,2.396342820888527e-10,0.001177102780165692,6.816571530792919e-11,2.984657933926042,7.241164027754815e-11,2.989881105143296,9.082031249999999e-11,2.991589886316996,2.133503946747136e-10,2.987706758026897,2.187828113942613e-10,2.990590920265751,2.239656949514661e-10,2.99260925742986,2.282168340906257e-10,2.993995812568367,2.322023811542489e-10,2.995018385125205,2.360124697648156e-10,2.995811181563274,2.396342820888527e-10,2.996418089514204,1.180752809058776e-06,5072434.30532323,1.819537346628936e-06,3291681.403917619,2.483994496997498e-06,2413115.441319145,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.317095857185015e-10,0.001092991564701752,1.416167439809457e-10,0.001136816632167857,1.845703125e-10,0.001151698639239593,3.884425875743317e-10,0.001153924330658605,4.011182265866097e-10,0.001160310635261561,4.13211621553421e-10,0.001164720278846521,4.231309462114601e-10,0.001167981126525055,4.324305560265808e-10,0.001170482909879477,4.413207627845698e-10,0.001172464859239854,4.49771658207323e-10,0.001174074458362145,1.317095857185015e-10,2.972963109321505,1.416167439809457e-10,2.98232769131219,1.845703125e-10,2.985339807720386,3.884425875743317e-10,2.982683498452569,4.011182265866097e-10,2.986872930557467,4.13211621553421e-10,2.989730922052683,4.231309462114601e-10,2.991717517931173,4.324305560265808e-10,2.99317340840028,4.413207627845698e-10,2.994281848849669,4.49771658207323e-10,2.995121363174317,1.377896811288742e-06,5069215.708054507,2.123333454845801e-06,3291892.602335354,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.58797326539646e-10,0.001082646895380208,2.800269513877408e-10,0.001129135966643342,3.720703124999999e-10,0.001144253575590131,6.761682920906345e-10,0.001145767445047406,6.973568223695701e-10,0.001153160593979462,7.17582701560478e-10,0.001158322950201871,7.359197418113496e-10,0.001162158578732435,7.538584014542381e-10,0.001165112558902232,7.708726467242083e-10,0.001167470163785598,7.88017608557084e-10,0.001169383578049543,2.58797326539646e-10,2.953930538354489,2.800269513877408e-10,2.97071380330492,3.720703124999999e-10,2.976725282456503,6.761682920906345e-10,2.97740289723214,6.973568223695701e-10,2.982995571072192,7.17582701560478e-10,2.986744089071665,7.359197418113496e-10,2.989336693093835,7.538584014542381e-10,2.991215744014768,7.708726467242083e-10,2.992645223256473,7.88017608557084e-10,2.993726081361245,1.575165986165458e-06,5070608.222258458,2.427110072372927e-06,3290394.350425831,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5.129728081819351e-10,0.00106616205037843,5.329855920592195e-10,0.001117447096779438,6.40129026619967e-10,0.001134986044512105,1.031409391722933e-09,0.001136346513274146,1.067220531655393e-09,0.001144685136967704,1.102318959275489e-09,0.001150566305473181,1.13491978584466e-09,0.001154980875783071,1.165953300003993e-09,0.001158421729136349,1.197624700843529e-09,0.001161159053909063,1.22755578614725e-09,0.001163416363245975,5.129728081819351e-10,2.928072451227451,5.329855920592195e-10,2.956912677265474,6.40129026619967e-10,2.969141173021582,1.031409391722933e-09,2.972703636775123,1.067220531655393e-09,2.979299379707463,1.102318959275489e-09,2.983722282648125,1.13491978584466e-09,2.98680732818816,1.165953300003993e-09,2.989058570835851,1.197624700843529e-09,2.990765183094414,1.22755578614725e-09,2.99207392280407,1.772380986056457e-06,5069041.056602612,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
8.225664960055708e-10,0.001049970636588104,8.316788963617617e-10,0.001105453139617513,9.719518228961326e-10,0.001124484412389799,1.494523908750776e-09,0.001124857005922469,1.556708070591742e-09,0.001134088424738499,1.618438542987585e-09,0.001140670040373823,1.677264926869441e-09,0.001145656375786836,1.73741527051526e-09,0.001149522133543849,1.791958429672489e-09,0.001152704677290559,1.847468143086267e-09,0.001155302484554905,8.225664960055708e-10,2.910163875675109,8.316788963617617e-10,2.94708210460835,9.719518228961326e-10,2.962839711712918,1.494523908750776e-09,2.96752870446528,1.556708070591742e-09,2.974963351015068,1.618438542987585e-09,2.980018836894574,1.677264926869441e-09,2.983598937873085,1.73741527051526e-09,2.986234047339748,1.791958429672489e-09,2.988262616221452,1.847468143086267e-09,2.989834580125021,1.96965695775084e-06,5069805.160489074,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
