Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y
0,0.004122922898864771,0,0.006109047158435024,0,0.007800195511857193,0,0.009230973522889716,0,0.01043790015675669,0,0.01145680329626477,0,0.0123201629169586,0,0.01305587879730405,0,0.01368708919147398,0,0.01423258670569032,5.932239429418079e-08,7686067.393706427,7.688102012112577e-08,5926208.799434056,9.566556265775361e-08,4761313.620102096,1.164059877502281e-07,3923109.865665175,1.37822372040656e-07,3309222.106717909,1.606127431353856e-07,2847745.575885718,1.84817034761653e-07,2487846.030261614,2.069402627167131e-07,2203038.846810295,2.325786479836419e-07,1977679.631770066,2.547671605195984e-07,1792533.222057068,0,0.4921803894176819,0,0.2851695701205297,0,0.1814578484688988,0,0.1204932178294205,0,0.08230540263717198,0,0.05748965951006004,0,0.04094627773498033,0,0.02969375986420503,0,0.02190619124032288,0,0.01642853237345965
1.953125e-12,0.00412154728388786,1.953125e-12,0.006108179854697054,1.953125e-12,0.007799594814299153,1.953125e-12,0.009230582138462704,7.8125e-12,0.01043688424456316,1.953125e-12,0.01145674225695999,7.8125e-12,0.01232019343298215,7.8125e-12,0.01305624596712399,7.8125e-12,0.01368770292028134,7.8125e-12,0.01423337850247908,1.894279409640979e-07,7685998.714805664,2.456229652404909e-07,5927356.412505395,3.056916352478967e-07,4757789.829775234,3.71305808107527e-07,3922569.049380304,4.400081932854564e-07,3308082.054776524,5.11767708827493e-07,2847074.768556573,5.867711701206018e-07,2487904.431203967,6.608587224151726e-07,2202191.026874292,7.382217177385641e-07,1977414.983942912,8.126368767932101e-07,1792049.590620101,1.953125e-12,0.4920167420233638,1.953125e-12,0.2850557402989843,1.953125e-12,0.1813756509975328,1.953125e-12,0.1204316857868434,7.8125e-12,0.08198714192727137,1.953125e-12,0.05744263560344268,7.8125e-12,0.04080328949020195,7.8125e-12,0.02957568846909708,7.8125e-12,0.02180752593537174,7.8125e-12,0.01634538120954425
5.859375000000001e-12,0.004119801626936792,5.859375000000001e-12,0.006106848180222123,5.859375000000001e-12,0.007798723979552648,5.859375000000001e-12,0.009230075520779412,2.34375e-11,0.01043564093479796,5.859375000000001e-12,0.01145667058100624,2.34375e-11,0.01232008963683376,2.34375e-11,0.01305653492471428,2.34375e-11,0.01368824388832782,2.34375e-11,0.01423409716598412,3.195346502032868e-07,7684267.229836695,4.143322397309237e-07,5928040.89308608,5.15873260703858e-07,4756935.38966403,6.262407722627105e-07,3922013.30099737,7.422981556992075e-07,3307629.818672078,8.630054111330724e-07,2848035.357703386,9.887158700285769e-07,2488185.681541653,1.114951935854228e-06,2202407.665134903,1.243932460359735e-06,1977460.971166269,1.370657148795823e-06,1791561.714513639,5.859375000000001e-12,0.4917911502221675,5.859375000000001e-12,0.2848591626131183,5.859375000000001e-12,0.1812339612886344,5.859375000000001e-12,0.1203415304633414,2.34375e-11,0.08174692497427534,5.859375000000001e-12,0.05738671408876652,2.34375e-11,0.04060266517447157,2.34375e-11,0.02940289871847378,2.34375e-11,0.02166204911490032,2.34375e-11,0.01622200948169149
1.3671875e-11,0.004116619884152488,1.3671875e-11,0.006104568885116519,1.3671875e-11,0.007797213704606679,1.3671875e-11,0.009229125059699819,5.468750000000001e-11,0.01043300106342375,1.3671875e-11,0.01145647294790339,5.468750000000001e-11,0.01231957298878697,5.468750000000001e-11,0.01305666764855547,5.468750000000001e-11,0.01368884965356811,5.468750000000001e-11,0.01423504092597137,4.496706762015982e-07,7685175.517940664,5.830220342237903e-07,5927356.449082877,7.260926389558354e-07,4756530.410471881,8.812118606436957e-07,3922218.362724678,1.044629448746225e-06,3306918.036255192,1.214124647520076e-06,2847013.318515503,1.390615136396998e-06,2488097.805720546,  ,  ,  ,  ,  ,  ,1.3671875e-11,0.4913862503644551,1.3671875e-11,0.2845436229522554,1.3671875e-11,0.1810105874845726,1.3671875e-11,0.1201623948874932,5.468750000000001e-11,0.08132319361894275,1.3671875e-11,0.05727859515394614,5.468750000000001e-11,0.04032945161390735,5.468750000000001e-11,0.02917674885897813,5.468750000000001e-11,0.02147415285057538,5.468750000000001e-11,0.01606363470622498
2.498221014023013e-11,0.004112095734036286,2.9296875e-11,0.006099986693082493,2.9296875e-11,0.007794116078631308,2.9296875e-11,0.009227168328556521,8.47159632895562e-11,0.01042997187203689,2.9296875e-11,0.011455994186806,8.647797774820232e-11,0.01231841423639432,8.721784986802354e-11,0.01305614437639345,8.790901111344809e-11,0.01368881724406436,8.856822624835848e-11,0.01423538031339774,5.79791321808917e-07,7685757.711625825,7.517313076731249e-07,5928040.893177808,9.363299156477746e-07,4756088.351039131,1.13616961860629e-06,3922223.301415663,1.347025815706809e-06,3307313.965717634,1.565369930953251e-06,2846022.674083163,  ,  ,  ,  ,  ,  ,  ,  ,2.498221014023013e-11,0.4908408207630698,2.9296875e-11,0.2839493334280232,2.9296875e-11,0.1805924571467852,2.9296875e-11,0.1198535763175279,8.47159632895562e-11,0.08096438373598237,2.9296875e-11,0.05708933441844467,8.647797774820232e-11,0.04009692857410963,8.721784986802354e-11,0.0289754478257684,8.790901111344809e-11,0.02130170589506821,8.856822624835848e-11,0.01591643850939423
4.760288042069038e-11,0.00410326018603739,5.983139052807296e-11,0.00609109463857095,6.0546875e-11,0.007787738974694383,6.0546875e-11,0.009222936187666772,1.447728898686686e-10,0.01042256190739632,6.0546875e-11,0.0114545897513043,1.500589332446069e-10,0.01231441753756594,1.522785496040706e-10,0.01305333486663908,1.543520333403443e-10,0.01368694260308931,1.563296787450754e-10,0.01423423102092967,7.099021108190044e-07,7685912.304582464,9.204211021633812e-07,5927356.449083007,1.146586733055617e-06,4756121.946236741,1.391127055537294e-06,3922360.287434874,1.649385981800993e-06,3307452.054241457,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4.760288042069038e-11,0.4897934040583403,5.983139052807296e-11,0.2828618602540851,6.0546875e-11,0.1798162316185155,6.0546875e-11,0.1192919435594237,1.447728898686686e-10,0.08036686601914161,6.0546875e-11,0.05674806325692106,1.500589332446069e-10,0.03969635809326271,1.522785496040706e-10,0.02864503805768662,1.543520333403443e-10,0.021023644587211,1.563296787450754e-10,0.01568938587693328
9.284422098161088e-11,0.004086347703202834,1.209004215842189e-10,0.006073379562472768,1.23046875e-10,0.007774208049487942,1.23046875e-10,0.00921320918655112,2.648867430268933e-10,0.01040315099638007,1.23046875e-10,0.01145009767432405,2.772208442374162e-10,0.0123009916185583,2.823999490761647e-10,0.0130421315498947,2.872380777941366e-10,0.01367756012310411,2.918525837385093e-10,0.01422632921078372,8.400102828057943e-07,7686235.256699514,1.089130375612712e-06,5928040.893177808,1.35684206529983e-06,4756083.792462932,1.646075588236715e-06,3922158.75633821,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,9.284422098161088e-11,0.4879512355029632,1.209004215842189e-10,0.281061760148724,1.23046875e-10,0.1785415253223881,1.23046875e-10,0.1183463733039955,2.648867430268933e-10,0.07952449822054433,1.23046875e-10,0.05617876738882671,2.772208442374162e-10,0.03914741970789455,2.823999490761647e-10,0.02817721791790915,2.872380777941366e-10,0.02063337541705097,2.918525837385093e-10,0.01537263731025928
1.833269021034519e-10,0.004054937404361128,2.430384836965107e-10,0.006037510932875044,2.48046875e-10,0.00774404528098068,2.48046875e-10,0.009189200405611815,5.032461214147646e-10,0.01035239770795224,2.48046875e-10,0.01143544729470774,5.238747522432684e-10,0.01226180578267083,5.337934278147039e-10,0.01300743138166112,5.434571023861104e-10,0.01364668478500568,5.535491713111301e-10,0.01419859261323801,9.701129880447961e-07,7685860.36655569,1.257820170102968e-06,5927356.449083007,1.56709908423308e-06,4756101.028296068,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.833269021034519e-10,0.4849740868874449,2.430384836965107e-10,0.2784984745012385,2.48046875e-10,0.1767535376049453,2.48046875e-10,0.1170430895027242,5.032461214147646e-10,0.07864635448510533,2.48046875e-10,0.05540468370217138,5.238747522432684e-10,0.03858474011719035,5.337934278147039e-10,0.02771756799831153,5.434571023861104e-10,0.02024833142085046,5.535491713111301e-10,0.01503175852878542
3.642922643471339e-10,0.003998882505720404,4.698261279701352e-10,0.005968879732523145,4.734105563952399e-10,0.007681679063559937,4.745547566916179e-10,0.009134521420793183,7.809258540715741e-10,0.01028241443033022,4.797860094083147e-10,0.01139477124669569,8.163046920709765e-10,0.01220398826591312,8.336680228997496e-10,0.01295497772295381,8.508869238920731e-10,0.01359897409073998,8.693101424160812e-10,0.01415492504607332,1.10022203925153e-06,7684103.475197468,1.426529443552299e-06,5928040.893177801,1.777355341207138e-06,4753538.493720746,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3.642922643471339e-10,0.4811890521903639,4.698261279701352e-10,0.2761012825623039,4.734105563952399e-10,0.1751074152945283,4.745547566916179e-10,0.1158220304810665,7.809258540715741e-10,0.07825405761259265,4.797860094083147e-10,0.05465298664829951,8.163046920709765e-10,0.03828558060625768,8.336680228997496e-10,0.02745815756257283,8.508869238920731e-10,0.0200177081871058,8.693101424160812e-10,0.01482378510945591
6.377110997794169e-10,0.003930844981642982,7.282620798504003e-10,0.005890153874752246,7.333230628970381e-10,0.007603466743808421,7.379707825438234e-10,0.009061292465495988,1.131754139710399e-09,0.01018925213123186,7.524624076333878e-10,0.01133490851702783,1.191718764147316e-09,0.01212371346872778,1.222013447944364e-09,0.01288111283981075,1.253270806848281e-09,0.01353084469631075,1.285548622369392e-09,0.01409201412463398,1.230360838556845e-06,7685434.271241164,1.595219238042556e-06,5927351.006067664,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6.377110997794169e-10,0.4790511796205223,7.282620798504003e-10,0.2754209997841139,7.333230628970381e-10,0.1745100232030879,7.379707825438234e-10,0.1153102690810761,1.131754139710399e-09,0.07809200026917243,7.524624076333878e-10,0.0542809605243689,1.191718764147316e-09,0.03809090999940225,1.222013447944364e-09,0.02726735958162909,1.253270806848281e-09,0.01983099737110219,1.285548622369392e-09,0.01464267072635978
