Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y
0,0.003747329221686898,0,0.005849100171314276,0,0.007588277595417443,0,0.009045219148765417,0,0.01026675455194846,0,0.01129399286003157,0,0.01216221125799299,0,0.01290090304599887,0,0.01353375595630662,0,0.01408031364080849,5.336098167363102e-08,8601032.391642665,7.595787648200995e-08,6035420.029657351,1.014846067369778e-07,4509242.324055152,1.2995710615619e-07,3520918.013873423,1.607066721900685e-07,2849702.375391106,1.932583973878291e-07,2374941.886961391,2.265185847535074e-07,2029640.044987746,2.594801501564503e-07,1767738.138985051,2.937199821161233e-07,1563218.576124938,3.281061892633774e-07,1399890.321941172,0,0.7888203171940262,0,0.461010052393887,0,0.300032947887631,0,0.2040551969825073,0,0.1425184522460938,0,0.1015731921391276,0,0.07365183545479638,0,0.05425586531114107,0,0.04057196251426071,0,0.03077889147974163
2.9296875e-12,0.003746362347822958,1.171875e-11,0.005846262639131507,1.171875e-11,0.007586674600674161,1.171875e-11,0.009044449205132365,1.171875e-11,0.01026661255394593,1.171875e-11,0.01129430155604842,1.171875e-11,0.01216284111350709,1.171875e-11,0.01290175313156286,1.171875e-11,0.01353476550037309,4.6875e-11,0.01408287276247205,1.696260943328586e-07,8601076.454570904,2.416464275830297e-07,6034278.983468858,3.232513533731847e-07,4509112.348384432,4.139739438274206e-07,3519760.156017296,5.116205109949911e-07,2848853.402627168,6.143213318074353e-07,2375832.01413086,7.192167863235486e-07,2029164.451177112,8.251747957300029e-07,1767554.979137627,9.334257886316139e-07,1563497.979901172,1.042447866126562e-06,1398946.226858419,2.9296875e-12,0.7887369633650086,1.171875e-11,0.4606286478777363,1.171875e-11,0.299707154773175,1.171875e-11,0.2038944040552235,1.171875e-11,0.1423974013204334,1.171875e-11,0.1014794082901657,1.171875e-11,0.07357730543071973,1.171875e-11,0.05419601891006006,1.171875e-11,0.04052248748212058,4.6875e-11,0.03059150575443651
8.7890625e-12,0.003745122313811129,3.515625e-11,0.005843077969368139,3.515625e-11,0.00758479512775197,3.515625e-11,0.009043448475396494,3.515625e-11,0.01026627183625864,3.515625e-11,0.01129442238199948,3.515625e-11,0.01216328729932607,3.515625e-11,0.01290242190316936,3.515625e-11,0.01353559549151488,1.40625e-10,0.01408240164761557,2.858906113711377e-07,8598943.160254117,4.073663094014771e-07,6034704.806481663,5.450244924608124e-07,4509152.823743522,6.980842114802959e-07,3520099.063910889,8.626389239037831e-07,2848523.801085501,1.03522651115187e-06,2374429.703634956,1.212030466072326e-06,2029105.223601332,1.390928060439138e-06,1767590.973387086,1.573017276983399e-06,1563067.329594641,1.757271624753566e-06,1399117.149569971,8.7890625e-12,0.7886145992736171,3.515625e-11,0.4603064317409858,3.515625e-11,0.2994735784796132,3.515625e-11,0.2037131471177631,3.515625e-11,0.1422252095852442,3.515625e-11,0.1013454409336217,3.515625e-11,0.07347072613585741,3.515625e-11,0.05411037352902026,3.515625e-11,0.04045129037034472,1.40625e-10,0.03052487351319754
2.05078125e-11,0.00374288277698934,8.203124999999998e-11,0.005836701110845337,8.203124999999998e-11,0.007580705086236953,8.203124999999998e-11,0.009041017029298588,8.203124999999998e-11,0.01026501187962878,8.203124999999998e-11,0.01129402179582756,8.203124999999998e-11,0.01216350659749605,8.203124999999998e-11,0.01290307609324871,8.203124999999998e-11,0.01353657477893528,3.281249999999999e-10,0.01407800473334517,4.021839722369453e-07,8599661.190298688,5.730744976339711e-07,6034734.295040569,7.667956408535596e-07,4508669.157732259,9.821671255812937e-07,3519772.040142662,1.213697953011746e-06,2849330.1872398,1.456380272187257e-06,2373410.175310103,1.704858530565286e-06,2029109.170209575,1.956669804460259e-06,1767126.488673811,2.212784983125229e-06,1563214.457322895,  ,  ,2.05078125e-11,0.7883941861915991,8.203124999999998e-11,0.4598078064650562,8.203124999999998e-11,0.2990724627235115,8.203124999999998e-11,0.2034218311127998,8.203124999999998e-11,0.1420156656671571,8.203124999999998e-11,0.1011855676668364,8.203124999999998e-11,0.07334519211029164,8.203124999999998e-11,0.05401101923757207,8.203124999999998e-11,0.04036941481855469,3.281249999999999e-10,0.0304208662435079
3.71748931619572e-11,0.003739682861812416,1.209143207521113e-10,0.005831206002119109,1.233401732062628e-10,0.007576623038708886,1.263528589297602e-10,0.009038046307821746,1.281761760249238e-10,0.0102630007433822,1.297614892676509e-10,0.01129277584443991,1.312185720296995e-10,0.01216285557612656,1.326076425752854e-10,0.01290287438336049,1.338806996922151e-10,0.01353673177786876,4.604569021768455e-10,0.01407176411661334,5.184676231705546e-07,8600102.29881528,7.387818761380776e-07,6034771.036912614,9.885905796738153e-07,4509369.89101006,1.266276433966921e-06,3520073.451835445,1.564657629246643e-06,2848429.664970081,1.877714945141266e-06,2373494.813030886,2.19768563650987e-06,2029125.252961369,  ,  ,  ,  ,  ,  ,3.71748931619572e-11,0.7881134408927717,1.209143207521113e-10,0.459391112385428,1.233401732062628e-10,0.298777430437229,1.263528589297602e-10,0.2032070697430066,1.281761760249238e-10,0.1418484887824172,1.297614892676509e-10,0.1010549877545578,1.312185720296995e-10,0.07324048776573013,1.326076425752854e-10,0.05392649005840537,1.338806996922151e-10,0.04029860437900196,4.604569021768455e-10,0.03037941594796562
7.05090544858716e-11,0.003733406788776246,1.986804622563338e-10,0.00581968602227249,2.059580196187885e-10,0.007567284369069802,2.149960767892806e-10,0.009030479632360543,2.204660280747715e-10,0.01025709711014004,2.252219678029528e-10,0.01128824390558327,2.295932160890987e-10,0.01215941849079805,2.337604277258561e-10,0.01290028725607236,2.375795990766455e-10,0.01353484223214199,7.251207065305367e-10,0.01405624694213185,6.347453097903703e-07,8600263.463124432,9.044882457556397e-07,6035415.749146642,1.210351052682165e-06,4509109.568848398,1.550361415056897e-06,3520892.685546196,1.915728260302757e-06,2848781.203481477,2.299034593496861e-06,2374356.702514903,  ,  ,  ,  ,  ,  ,  ,  ,7.05090544858716e-11,0.7875763863942923,1.986804622563338e-10,0.4588087781783414,2.059580196187885e-10,0.2982662667689608,2.149960767892806e-10,0.2028635352286545,2.204660280747715e-10,0.1415997450960731,2.252219678029528e-10,0.1008740401885538,2.295932160890987e-10,0.0730996713060517,2.337604277258561e-10,0.05380669687864283,2.375795990766455e-10,0.04019878187850486,7.251207065305367e-10,0.03032269923584184
1.371773771337004e-10,0.003721170927385439,3.542127452647789e-10,0.00579480057344462,3.711937124438399e-10,0.007544971722104,3.922825125083213e-10,0.009010551592974718,4.050457321744668e-10,0.01023997122908519,4.161429248735564e-10,0.01127360153461321,4.263425042078969e-10,0.01214686955418635,4.360659980269976e-10,0.01288945683549588,4.449773978455061e-10,0.01352547655028725,1.163809065079055e-09,0.01402688136111563,7.510208174289125e-07,8600559.571288189,1.070176914368302e-06,6034278.974616087,1.432124328476701e-06,4509111.90019347,1.834380295866629e-06,3520924.423744122,2.266755569377215e-06,2848729.470522086,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.371773771337004e-10,0.7866444228591495,3.542127452647789e-10,0.4580071459749185,3.711937124438399e-10,0.2977055278695702,3.922825125083213e-10,0.202443424806418,4.050457321744668e-10,0.1413111745741372,4.161429248735564e-10,0.1006546087958103,4.263425042078969e-10,0.07292782870671763,4.360659980269976e-10,0.05367882008051576,4.449773978455061e-10,0.04008807939838902,1.163809065079055e-09,0.03024688796718983
2.705140224293581e-10,0.003697588627738,6.512677517770946e-10,0.005743194274610488,6.654607786413379e-10,0.007498219162014105,6.946743568443188e-10,0.008968308172405362,7.165079982330772e-10,0.01020240859409508,7.364070250974008e-10,0.01124039345869535,7.55339611544994e-10,0.01211747686059267,7.739641437694938e-10,0.01286330547130811,7.928810763985802e-10,0.01350203250557905,1.846951713498397e-09,0.01397807041807289,8.672923218247852e-07,8600638.601944242,1.235896796429874e-06,6034704.806481563,1.653897489607853e-06,4509264.379594844,2.118396616482965e-06,3520669.918373353,2.617789253111575e-06,2849391.754873048,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.705140224293581e-10,0.7852345468568683,6.512677517770946e-10,0.4573842093533969,6.654607786413379e-10,0.2973123486754483,6.946743568443188e-10,0.2021587722830032,7.165079982330772e-10,0.1411050508818671,7.364070250974008e-10,0.1004909429508148,7.55339611544994e-10,0.07279406536605121,7.739641437694938e-10,0.05356662988667205,7.928810763985802e-10,0.03999363852784379,1.846951713498397e-09,0.03015943382803322
5.371873130206733e-10,0.003653623475535707,9.922602130479545e-10,0.005682436964957964,1.014985552693366e-09,0.007438316800754639,1.061433454907172e-09,0.008911666946664934,1.099209137686205e-09,0.01015051752614766,1.134578069626138e-09,0.01119346810034503,1.168772028725145e-09,0.01207520842986764,1.202916351595048e-09,0.01282516893897099,1.237205862906545e-09,0.01346752792550951,2.884587295687714e-09,0.01389934767664742,9.835627578100785e-07,8600872.83966673,1.40160498466237e-06,6034734.295040573,1.875663151547118e-06,4508821.73604344,2.402433468327919e-06,3520476.430483781,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5.371873130206733e-10,0.7835874347274221,9.922602130479545e-10,0.4573078563962639,1.014985552693366e-09,0.2972487813520307,1.061433454907172e-09,0.202061848662025,1.099209137686205e-09,0.1410074530277261,1.134578069626138e-09,0.1003927668263237,1.168772028725145e-09,0.07269984879740959,1.202916351595048e-09,0.0534764837751461,1.237205862906545e-09,0.03991188229156672,2.884587295687714e-09,0.03009555897436954
8.802483602948829e-10,0.003607248627202284,1.416557426339271e-09,0.005610726622284045,1.458577693950829e-09,0.007362819004357607,1.534988012542916e-09,0.008837307518942177,1.601881201531292e-09,0.01008015917347052,1.666000152676301e-09,0.01112818445118939,1.728922342358309e-09,0.01201518204306522,1.792063758025363e-09,0.01277011821942571,1.856206250833143e-09,0.01341695694836293,4.947367737782471e-09,0.01372664322876826,1.099830027265343e-06,8600299.282003785,1.567312363166477e-06,6034692.087064064,2.097450584837288e-06,4509109.962290745,2.686485931040354e-06,3520967.734814643,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8.802483602948829e-10,0.7828653686664369,1.416557426339271e-09,0.457510004599077,1.458577693950829e-09,0.2973439022367203,1.534988012542916e-09,0.2020520963486039,1.601881201531292e-09,0.1409577889907099,1.666000152676301e-09,0.1003216816719835,1.728922342358309e-09,0.07261998747299871,1.792063758025363e-09,0.05339238371594453,1.856206250833143e-09,0.03983093419300716,4.947367737782471e-09,0.03011743035472193
