Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y
0,0.001720933871431755,0,0.001992993420251599,0,0.002111456541784945,0,0.00217657446866059,0,0.002217602600149115,0,0.002245846263820875,0,0.0022664946727919,0,0.002282259141924278,0,0.002294695097082427,0,0.002304759444413346,0,0.01642854036852051,0,0.001467627023700788,0,0.0001771985348259902,0,4.480508940740816e-05,0,1.849596998543026e-05,0,1.005763336913305e-05,0,6.453338360460308e-06,0,4.606084869590483e-06,0,3.534658227711916e-06,0,2.855754294206403e-06,2.585476973516482e-07,1873057.104030035,2.952796446725302e-07,1616543.27034795,3.349227486455641e-07,1415345.608972331,3.772046866499266e-07,1230307.076313364,4.338823220837833e-07,1077747.774911129,4.910668734325021e-07,960224.4692684672,5.340352106937393e-07,870710.2558996117,5.774818882648828e-07,798487.0614546963,6.177883278169257e-07,737286.5345689323
1.953125e-12,0.001720072437030968,1.953125e-12,0.001992458723308347,1.953125e-12,0.002111035322873525,1.953125e-12,0.002176226411388983,7.8125e-12,0.002216096198358012,7.8125e-12,0.00224452384713639,7.8125e-12,0.002265314365843726,7.8125e-12,0.00228119221185186,7.8125e-12,0.002293720933338292,1.953125e-12,0.002304645276630673,1.953125e-12,0.01626708504730315,1.953125e-12,0.001371625306265876,1.953125e-12,0.0001105218027767931,1.953125e-12,-3.885309863039664e-06,7.8125e-12,-0.0001595540689757344,7.8125e-12,-0.0001305927367325816,7.8125e-12,-0.0001077954710419575,7.8125e-12,-9.001798198420405e-05,7.8125e-12,-7.60713405707177e-05,1.953125e-12,-6.918609270143598e-06,7.924342499017111e-07,1884591.742470267,9.138835622681023e-07,1620428.420252194,1.041463959259197e-06,1417846.994358381,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5.859375000000001e-12,0.001718949425995924,5.859375000000001e-12,0.00199161007975751,5.859375000000001e-12,0.00211039481148403,5.859375000000001e-12,0.002175700643416892,2.34375e-11,0.002214417018319,2.34375e-11,0.002243063389659753,2.34375e-11,0.002264021703193857,2.34375e-11,0.002280032584683423,2.34375e-11,0.002292669420245701,5.859375000000001e-12,0.002304357410029654,5.859375000000001e-12,0.01603301802417724,5.859375000000001e-12,0.001206313305825568,5.859375000000001e-12,1.102102146443704e-05,5.859375000000001e-12,-7.579171312781902e-05,2.34375e-11,-0.0004362306135419945,2.34375e-11,-0.0003526743182673903,2.34375e-11,-0.0002899785071088122,2.34375e-11,-0.0002413218398291894,2.34375e-11,-0.0002040616074175399,5.859375000000001e-12,-3.178459910667424e-05,1.32305315131387e-06,1883635.167426103,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.3671875e-11,0.001716922026199819,1.3671875e-11,0.001990153916931153,1.3671875e-11,0.002109244462946541,1.3671875e-11,0.002174758989605989,5.468750000000001e-11,0.00221136366008204,5.468750000000001e-11,0.002240416543586395,5.468750000000001e-11,0.00226168270746501,5.468750000000001e-11,0.002277937242361489,5.468750000000001e-11,0.002290772143867725,1.3671875e-11,0.002303906005594929,1.3671875e-11,0.0156396733436578,1.3671875e-11,0.0009353229260530625,1.3671875e-11,-0.0001871952205902837,1.3671875e-11,-0.0002211310564665063,5.468750000000001e-11,-0.0008007692538548656,5.468750000000001e-11,-0.0006476366044460532,5.468750000000001e-11,-0.0005304431942435048,5.468750000000001e-11,-0.0004402802464102801,5.468750000000001e-11,-0.0003706984418443303,1.3671875e-11,-6.861209816101248e-05,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.530633965848617e-11,0.00171393489973142,2.9296875e-11,0.00198727522833863,2.9296875e-11,0.00210700482781067,2.9296875e-11,0.002172923548855177,8.521524735583699e-11,0.002208454451193917,8.605057826657367e-11,0.002237817657741864,8.681881205105325e-11,0.002259334917489445,8.753749909466803e-11,0.00227578966029577,8.82104586298979e-11,0.002288790768714466,2.9296875e-11,0.002303014433410037,2.530633965848617e-11,0.01504542036963691,2.9296875e-11,0.00042211383682777,2.9296875e-11,-0.000549937928508699,2.9296875e-11,-0.0004866496478967273,8.521524735583699e-11,-0.001151644794196202,8.605057826657367e-11,-0.0009204518523444321,8.681881205105325e-11,-0.0007616329821668768,8.753749909466803e-11,-0.0006346599581087994,8.82104586298979e-11,-0.000537781437539657,2.9296875e-11,-0.0001435829944789234,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.85752689754585e-11,0.001708118194021405,6.009915726699581e-11,0.001981740130764861,6.0546875e-11,0.002102615172395866,6.0546875e-11,0.002169322390661343,1.462707420675109e-10,0.00220280959235289,1.48776734799721e-10,0.002232783748813501,1.510814361531597e-10,0.002254784159603083,1.532374972840041e-10,0.00227162941391283,1.552563758896937e-10,0.002284957261301873,6.0546875e-11,0.002301267243974261,4.85752689754585e-11,0.01393205393539407,6.009915726699581e-11,-0.000562560581438835,6.0546875e-11,-0.001238853181930868,6.0546875e-11,-0.0009816825581561003,1.462707420675109e-10,-0.001816700944164259,1.48776734799721e-10,-0.001458029117554887,1.510814361531597e-10,-0.001203415721075077,1.532374972840041e-10,-0.000984594868679415,1.552563758896937e-10,-0.0008324678483474433,6.0546875e-11,-0.0002912674562480387,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.511312760940316e-11,0.001696996833769581,1.217037218009874e-10,0.001971156883117337,1.23046875e-10,0.002094170026628922,1.23046875e-10,0.002162370074228743,2.683817314908589e-10,0.002192100406711948,2.742290478660157e-10,0.002223215982005618,2.796066843573727e-10,0.002246123254999909,2.846374936626761e-10,0.002263710186666414,2.893482104092852e-10,0.002277656104905745,1.23046875e-10,0.002297918556551659,9.511312760940316e-11,0.01192104310928901,1.217037218009874e-10,-0.002322859300688666,1.23046875e-10,-0.002489125729351988,1.23046875e-10,-0.001904558543700609,2.683817314908589e-10,-0.002911541350646423,2.742290478660157e-10,-0.002338173387838078,2.796066843573727e-10,-0.001923663142040267,2.846374936626761e-10,-0.001595987237704573,2.893482104092852e-10,-0.001347028052294957,1.23046875e-10,-0.000550230258779155,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.881888448772925e-10,0.001676560106531139,2.449128508689706e-10,0.001951664100497188,2.48046875e-10,0.002078409916738367,2.48046875e-10,0.002149297628153793,5.126037103375547e-10,0.00217235026392015,5.25133673998605e-10,0.002205423776328309,5.366571807657988e-10,0.002229903853276543,5.474374864200203e-10,0.002248779491399032,5.575318794484684e-10,0.002263800924150846,2.48046875e-10,0.002291586016725788,1.881888448772925e-10,0.008508770621966855,2.449128508689706e-10,-0.005224753577732885,2.48046875e-10,-0.004585899759117019,2.48046875e-10,-0.003455091709984837,5.126037103375547e-10,-0.004492208956698897,5.25133673998605e-10,-0.003604778123006378,5.366571807657988e-10,-0.002953720315418486,5.474374864200203e-10,-0.002447021367398718,5.575318794484684e-10,-0.002057682782802422,2.48046875e-10,-0.0009847819408391513,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.743402794130711e-10,0.001641419755749569,4.913311090049371e-10,0.001917832657405539,4.98046875e-10,0.002050356305650934,4.98046875e-10,0.002125632552485256,1.001047668030946e-09,0.002137087610237082,1.026942926263784e-09,0.002173033336302482,1.050758173582651e-09,0.002199868938690668,1.06398970908347e-09,0.002221175025755169,1.066561052726989e-09,0.002238707912579899,4.98046875e-10,0.002279619239177816,3.743402794130711e-10,0.003709752648110101,4.913311090049371e-10,-0.009084558643987316,4.98046875e-10,-0.007491322502441929,4.98046875e-10,-0.005656639519393862,1.001047668030946e-09,-0.006063500860171935,1.026942926263784e-09,-0.004884346092286457,1.050758173582651e-09,-0.004004674276175428,1.06398970908347e-09,-0.00331251795257414,1.066561052726989e-09,-0.002768128013398442,4.98046875e-10,-0.00160627392970285,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7.466431484846285e-10,0.001586608975683391,9.693617002804975e-10,0.001865100042300447,9.980468750000001e-10,0.002003414331308775,9.980468750000001e-10,0.002084706200612184,1.647720808066914e-09,0.002096192084034707,1.661753351380194e-09,0.002136219923138486,1.677725716680829e-09,0.00216630080624624,1.685390412187433e-09,0.002190248566252347,1.684034720264158e-09,0.00220997647816807,9.772676230139368e-10,0.002257560837847729,7.466431484846285e-10,-0.0004978890644247512,9.693617002804975e-10,-0.01189201791800173,9.980468750000001e-10,-0.009970000033627658,9.980468750000001e-10,-0.007715423562585842,1.647720808066914e-09,-0.0063896337229757,1.661753351380194e-09,-0.005229156708833905,1.677725716680829e-09,-0.004336193247466816,1.685390412187433e-09,-0.003631734491706167,1.684034720264158e-09,-0.003073454931818662,9.772676230139368e-10,-0.002259490871972413,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
