Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y
0,0.001568647846171536,0,0.001842542998316646,0,0.00196105027441137,0,0.002026168601346946,0,0.002067197275518564,0,0.002095440927176272,0,0.002116089324967994,0,0.002131853785867949,0,0.002144289733106804,0,0.002154354072706495,0,0.03077890571438906,0,0.002885025887844382,0,0.0003532458813234662,0,8.953051577300676e-05,0,3.697804882710863e-05,0,2.011111627378623e-05,0,1.290495775703297e-05,0,9.211290694688893e-06,0,7.068797505726761e-06,0,5.711169294523507e-06,2.543162282842758e-07,1904342.76166687,2.969175588609345e-07,1602733.302503438,3.550150206742417e-07,1327585.931981517,4.183401146816513e-07,1106471.339929915,4.897889704215696e-07,953111.1493048944,5.450044160242922e-07,844055.5847188685,6.066615574602359e-07,759919.0210913317,6.735222748631356e-07,692677.4924919403,7.336104839593576e-07,636019.8542797756,7.878744917298736e-07,589697.7398753812
2.9296875e-12,0.001568193401095557,2.9296875e-12,0.001842293714817023,2.9296875e-12,0.00196086969960271,2.9296875e-12,0.002026028298565697,1.171875e-11,0.002066673918346056,1.171875e-11,0.002095006860902808,1.171875e-11,0.002115720981990362,1.171875e-11,0.002131535554801559,1.171875e-11,0.002144011198704281,1.171875e-11,0.002154107007457671,2.9296875e-12,0.03067874770277553,2.9296875e-12,0.002825957607711133,2.9296875e-12,0.0003149842770827695,2.9296875e-12,6.298992628472593e-05,1.171875e-11,-5.443546310468585e-05,1.171875e-11,-5.066566841732997e-05,1.171875e-11,-4.350574056934044e-05,1.171875e-11,-3.678511628729969e-05,1.171875e-11,-3.104873587494292e-05,1.171875e-11,-2.637317203563907e-05,7.794317800270201e-07,1913798.445721961,9.208516834205348e-07,1607204.485780886,1.108261929902504e-06,1329415.635022445,1.322114088676622e-06,1106393.372953888,1.538984545071286e-06,953614.3618895708,1.729760512784285e-06,843883.9961621022,  ,  ,  ,  ,  ,  ,  ,  
8.7890625e-12,0.001567613719235642,8.7890625e-12,0.001841927034740613,8.7890625e-12,0.001960610915712745,8.7890625e-12,0.002025831131433423,3.515625e-11,0.00206608440956801,3.515625e-11,0.002094519148975542,3.515625e-11,0.00211530751271715,3.515625e-11,0.002131187594246899,3.515625e-11,0.002143704421919125,3.515625e-11,0.00215383494429859,8.7890625e-12,0.03052337074681846,8.7890625e-12,0.002741265815941608,8.7890625e-12,0.0002602954451622018,8.7890625e-12,2.530711306702341e-05,3.515625e-11,-0.0002037657486466222,3.515625e-11,-0.0001665313147710363,3.515625e-11,-0.0001360823286163668,3.515625e-11,-9.826172003676232e-05,3.515625e-11,-7.308184809916994e-05,3.515625e-11,-6.153129262314934e-05,1.30195284395377e-06,1913304.635509765,1.543050046383748e-06,1606962.304511271,1.860472129373429e-06,1329431.751231195,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.05078125e-11,0.001566560549671577,2.05078125e-11,0.001841260528070036,2.05078125e-11,0.001960139461306288,2.05078125e-11,0.002025476569853128,8.203124999999998e-11,0.002064972643794776,8.203124999999998e-11,0.002093597810036746,8.203124999999998e-11,0.002114525904303406,8.203124999999998e-11,0.002130503593520652,8.203124999999998e-11,0.002143107132617405,8.203124999999998e-11,0.002153305861096685,2.05078125e-11,0.0302619538827731,2.05078125e-11,0.002566279563696431,2.05078125e-11,0.0001468297689258257,2.05078125e-11,-4.578301058765556e-05,8.203124999999998e-11,-0.0003929782542056636,8.203124999999998e-11,-0.000311000444669068,8.203124999999998e-11,-0.0002492305244530235,8.203124999999998e-11,-0.0002044698584877779,8.203124999999998e-11,-0.000170365534887597,8.203124999999998e-11,-0.000142992222102737,1.824608766821781e-06,1913177.346106803,2.165342179306014e-06,1607187.10468152,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.737789672897569e-11,0.00156505304996846,4.394531249999999e-11,0.001839964221736765,4.394531249999999e-11,0.001959219929226068,4.394531249999999e-11,0.002024768594662906,1.288262319024733e-10,0.002063877738917425,1.30424819442594e-10,0.002092658154988671,1.318926739563141e-10,0.002113703561398222,1.331950705650231e-10,0.002129773981643347,1.345097759340386e-10,0.0021424508044766,1.356869176352287e-10,0.002152710464678104,3.737789672897569e-11,0.02990498850469585,4.394531249999999e-11,0.002251327197737284,4.394531249999999e-11,-5.885264238870308e-05,4.394531249999999e-11,-0.0001966268840913283,1.288262319024733e-10,-0.0005671920217666291,1.30424819442594e-10,-0.000448950534614204,1.318926739563141e-10,-0.0003610231630596955,1.331950705650231e-10,-0.0002962723645407237,1.345097759340386e-10,-0.0002470486336242201,1.356869176352287e-10,-0.0002075431927050005,2.347299463549368e-06,1913246.78879914,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7.111806518692709e-11,0.001562112085968542,9.008211865346619e-11,0.001837456954888171,9.082031249999999e-11,0.001957407163973697,9.082031249999999e-11,0.002023380589578318,2.2241619570742e-10,0.00206171959824112,2.272119583277822e-10,0.002090799251978084,2.316155218689422e-10,0.002112070960692439,2.355227116950692e-10,0.002128320608232543,2.394668278021157e-10,0.002141137909165222,2.429982529056862e-10,0.002151514250532449,7.111806518692709e-11,0.02919803858575677,9.008211865346619e-11,0.001676589195474306,9.082031249999999e-11,-0.0004358967487794205,9.082031249999999e-11,-0.0004578097183215104,2.2241619570742e-10,-0.0008737030938550151,2.272119583277822e-10,-0.0006859143876282841,2.316155218689422e-10,-0.0005496785278810386,2.355227116950692e-10,-0.0004561674676730716,2.394668278021157e-10,-0.0003793465904110374,2.429982529056862e-10,-0.000318450403772838,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.385984021028299e-10,0.0015564625586766,1.823557309603986e-10,0.001832624731768236,1.845703125e-10,0.001953882515331385,1.845703125e-10,0.002020668291082025,4.095961233173133e-10,0.002057483381434794,4.207862360981584e-10,0.002087113600627639,4.310612176941985e-10,0.002108799801155809,4.401779939551615e-10,0.0021253746403003,4.4938093153827e-10,0.002138447062844367,4.576209234466011e-10,0.002149034207587365,1.385984021028299e-10,0.02797623464219652,1.823557309603986e-10,0.0006583390085416941,1.845703125e-10,-0.001117161273446582,1.845703125e-10,-0.000926123928470722,4.095961233173133e-10,-0.001390313215934532,4.207862360981584e-10,-0.001079106040601632,4.310612176941985e-10,-0.0008595694124645253,4.401779939551615e-10,-0.0006977559297133538,4.4938093153827e-10,-0.0005759409884657506,4.576209234466011e-10,-0.0004806562843957463,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.735590759346355e-10,0.001545972758259412,3.669029555742634e-10,0.001823552982676355,3.720703124999999e-10,0.001947150805982713,3.720703124999999e-10,0.002015426638598853,7.839559785371e-10,0.002049113024143517,8.079347916389109e-10,0.00207968300004487,8.299526093447111e-10,0.002102078756473504,8.494885584753462e-10,0.002119217189915252,8.692091390105786e-10,0.002132728234029141,8.86866264528431e-10,0.002143684130628873,2.735590759346355e-10,0.02599840097886541,3.669029555742634e-10,-0.0009352288055858923,3.720703124999999e-10,-0.002199703525478133,3.720703124999999e-10,-0.00168688583302863,7.839559785371e-10,-0.002047709469464359,8.079347916389109e-10,-0.001584038959266618,8.299526093447111e-10,-0.00125965652988649,8.494885584753462e-10,-0.001013125914527761,8.692091390105786e-10,-0.0008303195681832674,8.86866264528431e-10,-0.0006894590125625787,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5.434804235982466e-10,0.001527492944470328,7.35997404801993e-10,0.001807110167276715,7.470703124999999e-10,0.00193453088664552,7.470703124999999e-10,0.002005343177939895,1.523587186011409e-09,0.002032745872969787,1.528500105693759e-09,0.00206567702337001,1.538418170195175e-09,0.002089775788674308,1.549077861700652e-09,0.002108221129115709,1.564673099467848e-09,0.002122743481755192,1.580360125961063e-09,0.002134502163864759,5.434804235982466e-10,0.0235009336736304,7.35997404801993e-10,-0.002797906821369242,7.470703124999999e-10,-0.003545787165465052,7.470703124999999e-10,-0.00265921119407647,1.523587186011409e-09,-0.002553707439287851,1.528500105693759e-09,-0.001979558360831067,1.538418170195175e-09,-0.001571552696633838,1.549077861700652e-09,-0.001268205944452896,1.564673099467848e-09,-0.001038199262180191,1.580360125961063e-09,-0.0008620115238618372,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.083323118925469e-09,0.001496998161810625,1.474186303257452e-09,0.001778282369424166,1.4970703125e-09,0.001911222473120346,1.493796265365476e-09,0.001986068169061144,2.422386231811602e-09,0.002013547925456576,2.418748204521725e-09,0.002048772477221377,2.425909263386005e-09,0.002074609324141697,2.439875785128404e-09,0.002094386583880499,2.456820602263991e-09,0.002110054781553778,2.4809902781779e-09,0.002122689025143946,1.083323118925469e-09,0.02210857170380471,1.474186303257452e-09,-0.003508952418593652,1.4970703125e-09,-0.004323737472269953,1.493796265365476e-09,-0.003344062234652372,2.422386231811602e-09,-0.002512737215939445,2.418748204521725e-09,-0.002027655241287354,2.425909263386005e-09,-0.001656760147957934,2.439875785128404e-09,-0.001369009104551244,2.456820602263991e-09,-0.001145454906420373,2.4809902781779e-09,-0.0009659147915117526,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
