Total; tran P (inv_lM0=8e-07) X,Total; tran P (inv_lM0=8e-07) Y,Total; tran P (inv_lM0=1.6e-06) X,Total; tran P (inv_lM0=1.6e-06) Y,Total; tran P (inv_lM0=2.4e-06) X,Total; tran P (inv_lM0=2.4e-06) Y,Total; tran P (inv_lM0=3.2e-06) X,Total; tran P (inv_lM0=3.2e-06) Y,Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=4.8e-06) X,Total; tran P (inv_lM0=4.8e-06) Y,Total; tran P (inv_lM0=5.6e-06) X,Total; tran P (inv_lM0=5.6e-06) Y,Total; tran P (inv_lM0=6.4e-06) X,Total; tran P (inv_lM0=6.4e-06) Y,Total; tran P (inv_lM0=7.2e-06) X,Total; tran P (inv_lM0=7.2e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,/w_out (inv_lM0=8e-07) X,/w_out (inv_lM0=8e-07) Y,/w_out (inv_lM0=1.6e-06) X,/w_out (inv_lM0=1.6e-06) Y,/w_out (inv_lM0=2.4e-06) X,/w_out (inv_lM0=2.4e-06) Y,/w_out (inv_lM0=3.2e-06) X,/w_out (inv_lM0=3.2e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=4.8e-06) X,/w_out (inv_lM0=4.8e-06) Y,/w_out (inv_lM0=5.6e-06) X,/w_out (inv_lM0=5.6e-06) Y,/w_out (inv_lM0=6.4e-06) X,/w_out (inv_lM0=6.4e-06) Y,/w_out (inv_lM0=7.2e-06) X,/w_out (inv_lM0=7.2e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,frequency (inv_lM0=8e-07) X,frequency (inv_lM0=8e-07) Y,frequency (inv_lM0=1.6e-06) X,frequency (inv_lM0=1.6e-06) Y,frequency (inv_lM0=2.4e-06) X,frequency (inv_lM0=2.4e-06) Y,frequency (inv_lM0=3.2e-06) X,frequency (inv_lM0=3.2e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=4.8e-06) X,frequency (inv_lM0=4.8e-06) Y,frequency (inv_lM0=5.6e-06) X,frequency (inv_lM0=5.6e-06) Y,frequency (inv_lM0=6.4e-06) X,frequency (inv_lM0=6.4e-06) Y,frequency (inv_lM0=7.2e-06) X,frequency (inv_lM0=7.2e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y
0,0.004122922898864771,0,0.003456948265900991,0,0.003018460783632912,0,0.002697358018363896,0,0.002448101394392317,0,0.002247462492000283,0,0.002081849275911381,0,0.001942561918312443,0,0.001823668723601453,0,0.001720933871431755,0,0.4921803894176819,0,0.2851695758421964,0,0.1814578581940064,0,0.1204932296739681,0,0.08230541511504443,0,0.05748967167712464,0,0.04094628906461963,0,0.02969377011203045,0,0.02190620034071494,0,0.01642854036852051,5.932239429418079e-08,7686067.393706427,7.509840068131207e-08,6102644.667873417,9.251183896953527e-08,5008554.735870952,1.111191798583e-07,4191451.097730042,1.323492909083464e-07,3567832.702238944,1.542106791318115e-07,3076837.691112709,1.777696691444622e-07,2684386.794979926,2.031523790392246e-07,2359978.762458179,2.300320491991757e-07,2095203.306813637,2.585476973516482e-07,1873057.104030035
1.953125e-12,0.00412154728388786,1.953125e-12,0.003455788774271074,1.953125e-12,0.003017413778068753,1.953125e-12,0.002696377490996735,1.953125e-12,0.002447162145290443,1.953125e-12,0.002246550572710149,1.953125e-12,0.002080956136728373,1.953125e-12,0.001941682197368871,1.953125e-12,0.001822799115495263,1.953125e-12,0.001720072437030968,1.953125e-12,0.4920167420233638,1.953125e-12,0.2849756779284413,1.953125e-12,0.1812713398190133,1.953125e-12,0.120310771998293,1.953125e-12,0.08212735619271595,1.953125e-12,0.05731500020465488,1.953125e-12,0.04077439856904232,1.953125e-12,0.029524574212576,1.953125e-12,0.02174030342496821,1.953125e-12,0.01626708504730315,1.894279409640979e-07,7685998.714805664,2.389617835953412e-07,6106713.516715322,2.921702340027498e-07,5016612.672906145,3.49700038058356e-07,4198963.688642956,4.126314911842909e-07,3575955.66893307,4.792196982583158e-07,3085067.216272416,5.502942255422588e-07,2692496.921674376,6.268850057508266e-07,2369332.77875954,7.073127010328105e-07,2102889.94806044,7.924342499017111e-07,1884591.742470267
5.859375000000001e-12,0.004119801626936792,5.859375000000001e-12,0.003454313068326211,5.859375000000001e-12,0.003016078575003495,5.859375000000001e-12,0.00269512249292994,5.859375000000001e-12,0.002445955835674716,5.859375000000001e-12,0.002245375312951354,5.859375000000001e-12,0.00207980146395719,5.859375000000001e-12,0.001940541453675898,5.859375000000001e-12,0.001821668377233258,5.859375000000001e-12,0.001718949425995924,5.859375000000001e-12,0.4917911502221675,5.859375000000001e-12,0.284700666558175,5.859375000000001e-12,0.18100464791174,5.859375000000001e-12,0.1200498549688823,5.859375000000001e-12,0.08187172491875375,5.859375000000001e-12,0.0570634633067227,5.859375000000001e-12,0.04052666014240955,5.859375000000001e-12,0.02928021736859643,5.859375000000001e-12,0.0215002589318666,5.859375000000001e-12,0.01603301802417724,3.195346502032868e-07,7684267.229836695,4.027159857963771e-07,6106713.476806305,4.915079276223562e-07,5013281.734212485,5.878540384620092e-07,4199139.702774968,6.922770160680941e-07,3575960.208190981,8.033617444106414e-07,3084512.182703049,9.216966928766068e-07,2693226.996423897,1.048944755636847e-06,2369653.530231011,1.182848760788258e-06,2102834.774775038,1.32305315131387e-06,1883635.167426103
1.3671875e-11,0.004116619884152488,1.3671875e-11,0.003451654745943572,1.3671875e-11,0.003013674268222533,1.3671875e-11,0.002692859516831245,1.3671875e-11,0.002443779595500367,1.3671875e-11,0.002243254101876979,1.3671875e-11,0.002077716371876314,1.3671875e-11,0.001938481088396564,1.3671875e-11,0.001819626179852103,1.3671875e-11,0.001716922026199819,1.3671875e-11,0.4913862503644551,1.3671875e-11,0.2842311256433562,1.3671875e-11,0.180547358351005,1.3671875e-11,0.1196081267081135,1.3671875e-11,0.08143948005695942,1.3671875e-11,0.05663874907758026,1.3671875e-11,0.04010828920957552,1.3671875e-11,0.02886817539196371,1.3671875e-11,0.02109613633310749,1.3671875e-11,0.0156396733436578,4.496706762015982e-07,7685175.517940664,5.664701890675909e-07,6106713.476806136,6.909780657507664e-07,5014641.594607049,8.259980562328774e-07,4199754.248042811,9.719221859750275e-07,3575960.208223312,1.127562117360269e-06,3085377.301491935,1.292998481150604e-06,2693312.952166528,1.470947376375463e-06,2370378.165761028,  ,  ,  ,  
2.498221014023013e-11,0.004112095734036286,2.510801425085977e-11,0.003447793052655468,2.517467229525835e-11,0.003010158979074198,2.52171687237625e-11,0.002689542066094577,2.524298237684109e-11,0.002440584219844164,2.526011165909866e-11,0.002240136882122764,2.527162445283457e-11,0.0020746505877554,2.528122343464109e-11,0.001935450340184401,2.529156721071568e-11,0.001816620254295771,2.530633965848617e-11,0.00171393489973142,2.498221014023013e-11,0.4908408207630698,2.510801425085977e-11,0.2835445300776128,2.517467229525835e-11,0.1798842670261298,2.52171687237625e-11,0.11895790288571,2.524298237684109e-11,0.08080013137870519,2.526011165909866e-11,0.05600816261338813,2.527162445283457e-11,0.03946104751513592,2.528122343464109e-11,0.02822876913617432,2.529156721071568e-11,0.02046652794886611,2.530633965848617e-11,0.01504542036963691,5.79791321808917e-07,7685757.711625825,7.302243923388091e-07,6106713.476806131,8.903941119693916e-07,5015849.500499969,1.064107226660177e-06,4199014.824678036,1.251567355879433e-06,3575960.208223312,1.451671586732605e-06,3084755.802875306,  ,  ,  ,  ,  ,  ,  ,  
4.760288042069038e-11,0.00410326018603739,4.798029275257931e-11,0.003440290297251317,4.818026688577506e-11,0.003003327889063344,4.83077561712875e-11,0.002683093421542503,4.838519713052325e-11,0.002434371072966233,4.843658497729598e-11,0.002234074081129715,4.847112335850371e-11,0.002068686875236881,4.849992030392328e-11,0.001929553467101989,4.853095163214704e-11,0.001810770153572655,4.85752689754585e-11,0.001708118194021405,4.760288042069038e-11,0.4897934040583403,4.798029275257931e-11,0.2823065200801053,4.818026688577506e-11,0.1786663688292593,4.83077561712875e-11,0.1177627845905607,4.838519713052325e-11,0.07962373769564145,4.843658497729598e-11,0.05484688288434592,4.847112335850371e-11,0.03831351584064049,4.849992030392328e-11,0.02709473242796464,4.853095163214704e-11,0.01935034371382478,4.85752689754585e-11,0.01393205393539407,7.099021108190044e-07,7685912.304582464,8.939785956100275e-07,6106713.476806131,1.089762135252451e-06,5013891.723560988,1.302258326799881e-06,4199033.868579234,1.531212525783838e-06,3575960.208223312,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.284422098161088e-11,0.004086347703202834,9.372484975601838e-11,0.003425970835461821,9.419145606680846e-11,0.002990289796074973,9.448893106633751e-11,0.002670784536519589,9.466962663788759e-11,0.002422509788175386,9.478953161369061e-11,0.002222497236787307,9.487012116984199e-11,0.002057296192033973,9.493731404248764e-11,0.001918287230115453,9.500972047500977e-11,0.001799589318486028,9.511312760940316e-11,0.001696996833769581,9.284422098161088e-11,0.4879512355029632,9.372484975601838e-11,0.280089896883002,9.419145606680846e-11,0.1764714186947756,9.448893106633751e-11,0.1155975386176208,9.466962663788759e-11,0.07748355393135647,9.478953161369061e-11,0.05272722410324639,9.487012116984199e-11,0.03621313242197877,9.493731404248764e-11,0.02501419571102806,9.500972047500977e-11,0.01729780509075811,9.511312760940316e-11,0.01192104310928901,8.400102828057943e-07,7686235.256699514,1.057732798881246e-06,6106713.476806136,1.289208005872444e-06,5013932.446488083,1.540408346851602e-06,4198052.420667466,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.833269021034519e-10,0.004054937404361128,1.852139637628965e-10,0.003399518774706324,1.862138344288753e-10,0.002966270224687649,1.868512808564375e-10,0.002648146162932316,1.872384856526163e-10,0.002400713627781807,1.874954248864799e-10,0.002201233379213179,1.876681167925185e-10,0.002036379325678293,1.878121015196164e-10,0.001897599483983593,1.879672581607352e-10,0.001779053728374551,1.881888448772925e-10,0.001676560106531139,1.833269021034519e-10,0.4849740868874449,1.852139637628965e-10,0.2765558872021207,1.862138344288753e-10,0.172914560517535,1.868512808564375e-10,0.1120500589568652,1.872384856526163e-10,0.0739468396412065,1.874954248864799e-10,0.04920076111793031,1.876681167925185e-10,0.03270055133967237,1.878121015196164e-10,0.02151834120609887,1.879672581607352e-10,0.01383276011974283,1.881888448772925e-10,0.008508770621966855,9.701129880447961e-07,7685860.36655569,1.221487002152464e-06,6106713.476806127,1.488652256602314e-06,5016006.231783177,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.642922643471339e-10,0.003998882505720404,3.681921917766528e-10,0.003352520829428778,3.702585911530089e-10,0.002924067129565386,3.715759804366376e-10,0.002608670800180413,3.723762036820737e-10,0.002362904692026095,3.729072114320584e-10,0.002164481969921847,3.732641080378717e-10,0.002000315209865502,3.735616764738738e-10,0.001861985451436119,3.738823335321862e-10,0.001743732469234281,3.743402794130711e-10,0.001641419755749569,3.642922643471339e-10,0.4811890521903639,3.681921917766528e-10,0.2721987907389987,3.702585911530089e-10,0.1684095028609329,3.715759804366376e-10,0.1074412421107511,3.723762036820737e-10,0.06926030508533329,3.729072114320584e-10,0.04445476430181906,3.732641080378717e-10,0.02791437998702971,3.735616764738738e-10,0.01670351990714391,3.738823335321862e-10,0.009011231012935588,3.743402794130711e-10,0.003709752648110101,1.10022203925153e-06,7684103.475197468,1.385241205423683e-06,6106713.476806136,1.688014050386311e-06,5013278.089031267,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
6.377110997794169e-10,0.003930844981642982,6.734417329270013e-10,0.003284396786604393,7.062340871958931e-10,0.002859044172241299,7.200210932516923e-10,0.002547200764071975,7.339063116006591e-10,0.002303088703896754,7.437307845232154e-10,0.002105778847532005,7.444560905285779e-10,0.001943214764856954,7.450608263823888e-10,0.001805965494713111,7.45712484275088e-10,0.001688441779383734,7.466431484846285e-10,0.001586608975683391,6.377110997794169e-10,0.4790511796205223,6.734417329270013e-10,0.2699224838997041,7.062340871958931e-10,0.1656984164687952,7.200210932516923e-10,0.1043769523079504,7.339063116006591e-10,0.06588357821334258,7.437307845232154e-10,0.04082193011590154,7.444560905285779e-10,0.02409948805557705,7.450608263823888e-10,0.01273367115234676,7.45712484275088e-10,0.004911626360361266,7.466431484846285e-10,-0.0004978890644247512,1.230360838556845e-06,7685434.271241164,1.548995408694901e-06,6106713.476806127,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.241850387764449e-10,0.003871307549436255,1.02314692578015e-09,0.003216732499698985,1.099005108741525e-09,0.002794910065030135,1.12864767234814e-09,0.002487942091250053,1.15435762381569e-09,0.002247315810975714,1.173863477718812e-09,0.00205238287537607,1.180313070824487e-09,0.00189150712626358,1.186597038570535e-09,0.001755331743296545,1.194437579422253e-09,0.001638309707194127,1.205723397393648e-09,0.00153639381108502,9.241850387764449e-10,0.47945591674413,1.02314692578015e-09,0.2710598360546111,1.099005108741525e-09,0.1670131692311376,1.12864767234814e-09,0.1055707571033471,1.15435762381569e-09,0.0669688177025926,1.173863477718812e-09,0.04178654032666529,1.180313070824487e-09,0.02488625336313192,1.186597038570535e-09,0.01335886212480198,1.194437579422253e-09,0.005384254265241091,1.205723397393648e-09,-0.0001793751974441307,1.360477103260584e-06,7685773.907685009,1.712749611966119e-06,6106713.476806136,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.266513946289151e-09,0.003808268865973849,1.440145790575971e-09,0.003153748096193466,1.575734374196687e-09,0.002729877605210024,1.643614910303583e-09,0.002426679153499167,1.683477092914457e-09,0.002190817982172911,1.708013458582913e-09,0.001999925479761624,1.72068176519966e-09,0.001841635933671779,1.732726901536628e-09,0.0017073626123197,1.746948396481931e-09,0.001591720861562496,1.766682570805952e-09,0.001490758099568915,1.266513946289151e-09,0.4812644801215277,1.440145790575971e-09,0.2740889769867433,1.575734374196687e-09,0.1704766269517579,1.643614910303583e-09,0.1092545617676725,1.683477092914457e-09,0.07068023417324124,1.708013458582913e-09,0.04544992260352725,1.72068176519966e-09,0.02848905604704205,1.732726901536628e-09,0.01689974524292755,1.746948396481931e-09,0.008862825733466768,1.766682570805952e-09,0.003236478891167119,1.49058761809112e-06,7686406.740277919,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.687858730041449e-09,0.003745765441413464,1.913445060226986e-09,0.00309700452810069,2.133526067466998e-09,0.002673469070857789,2.256124876034503e-09,0.002370375677232224,2.3457137632998e-09,0.002136499020648519,2.386631293185553e-09,0.001949604534593753,2.406442078686607e-09,0.001794630873587175,2.424741184030147e-09,0.001662913702020101,2.445637818632278e-09,0.00154926071837493,2.474025010556466e-09,0.001449908089462818,1.687858730041449e-09,0.4837816018638841,1.913445060226986e-09,0.2777204741276739,2.133526067466998e-09,0.1747496043912014,2.256124876034503e-09,0.1138363574901729,2.3457137632998e-09,0.07558152743552927,2.386631293185553e-09,0.05048001059284431,2.406442078686607e-09,0.03357757031642244,2.424741184030147e-09,0.0220239560566562,2.445637818632278e-09,0.01401383655065858,2.474025010556466e-09,0.008392701598797443,1.620687420741408e-06,7686001.366217536,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.20526643684019e-09,0.003691052051266782,2.504685751792303e-09,0.00304358513128975,2.786772025658737e-09,0.00262339122000425,3.012969105729796e-09,0.002321334217563945,3.15420748462633e-09,0.002093766491179342,3.250199430855265e-09,0.001909207408298115,3.325475240348763e-09,0.001754935324272056,3.381951698306459e-09,0.001624572456456961,3.413491365110022e-09,0.001512993997789907,3.451886593108533e-09,0.001415618919627517,2.20526643684019e-09,0.4867268663507567,2.504685751792303e-09,0.2811169855967598,2.786772025658737e-09,0.1787144974993298,3.012969105729796e-09,0.1187725041122355,3.15420748462633e-09,0.08138169537906977,3.250199430855265e-09,0.05678028913890625,3.325475240348763e-09,0.04007498479237861,3.381951698306459e-09,0.0285962072767151,3.413491365110022e-09,0.02049652028313896,3.451886593108533e-09,0.01479702432145779,1.75079408509816e-06,7684410.752466478,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
