Total; tran P (inv_lM0=8e-07) X,Total; tran P (inv_lM0=8e-07) Y,Total; tran P (inv_lM0=1.6e-06) X,Total; tran P (inv_lM0=1.6e-06) Y,Total; tran P (inv_lM0=2.4e-06) X,Total; tran P (inv_lM0=2.4e-06) Y,Total; tran P (inv_lM0=3.2e-06) X,Total; tran P (inv_lM0=3.2e-06) Y,Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=4.8e-06) X,Total; tran P (inv_lM0=4.8e-06) Y,Total; tran P (inv_lM0=5.6e-06) X,Total; tran P (inv_lM0=5.6e-06) Y,Total; tran P (inv_lM0=6.4e-06) X,Total; tran P (inv_lM0=6.4e-06) Y,Total; tran P (inv_lM0=7.2e-06) X,Total; tran P (inv_lM0=7.2e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,/w_out (inv_lM0=8e-07) X,/w_out (inv_lM0=8e-07) Y,/w_out (inv_lM0=1.6e-06) X,/w_out (inv_lM0=1.6e-06) Y,/w_out (inv_lM0=2.4e-06) X,/w_out (inv_lM0=2.4e-06) Y,/w_out (inv_lM0=3.2e-06) X,/w_out (inv_lM0=3.2e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=4.8e-06) X,/w_out (inv_lM0=4.8e-06) Y,/w_out (inv_lM0=5.6e-06) X,/w_out (inv_lM0=5.6e-06) Y,/w_out (inv_lM0=6.4e-06) X,/w_out (inv_lM0=6.4e-06) Y,/w_out (inv_lM0=7.2e-06) X,/w_out (inv_lM0=7.2e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,frequency (inv_lM0=8e-07) X,frequency (inv_lM0=8e-07) Y,frequency (inv_lM0=1.6e-06) X,frequency (inv_lM0=1.6e-06) Y,frequency (inv_lM0=2.4e-06) X,frequency (inv_lM0=2.4e-06) Y,frequency (inv_lM0=3.2e-06) X,frequency (inv_lM0=3.2e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=4.8e-06) X,frequency (inv_lM0=4.8e-06) Y,frequency (inv_lM0=5.6e-06) X,frequency (inv_lM0=5.6e-06) Y,frequency (inv_lM0=6.4e-06) X,frequency (inv_lM0=6.4e-06) Y,frequency (inv_lM0=7.2e-06) X,frequency (inv_lM0=7.2e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y
0,0.003747329221686898,0,0.003195684943685322,0,0.002805978571150308,0,0.002511433498013568,0,0.002276884248227821,0,0.00208461319145429,0,0.001923872496799839,0,0.001787488023454668,0,0.001670320839486597,0,0.001568647846171536,0,0.7888203171940262,0,0.4610100611590951,0,0.3000329624935406,0,0.2040552151801181,0,0.1425184720323694,0,0.1015732119978864,0,0.07365185443004015,0,0.05425588287259255,0,0.04057197842917103,0,0.03077890571438906,5.336098167363102e-08,8601032.391642665,6.839604159784895e-08,6699738.136351378,8.574486046817062e-08,5395066.26987619,1.04767650655189e-07,4459663.141743138,1.253878603655066e-07,3753676.509453211,1.47996387200165e-07,3207905.785010596,1.722463142279311e-07,2776915.749320243,1.980925129357316e-07,2425935.765936496,2.251398829617366e-07,2139856.69914246,2.543162282842758e-07,1904342.76166687
2.9296875e-12,0.003746362347822958,2.9296875e-12,0.003194918311525733,2.9296875e-12,0.002805331279821752,2.9296875e-12,0.002510854941151068,2.9296875e-12,0.00227634886162918,2.9296875e-12,0.002084106521923972,2.9296875e-12,0.001923385631068715,2.9296875e-12,0.001787015267821054,2.9296875e-12,0.001669858459345496,2.9296875e-12,0.001568193401095557,2.9296875e-12,0.7887369633650086,2.9296875e-12,0.4609088717214087,2.9296875e-12,0.2999111521734907,2.9296875e-12,0.2039366081598138,2.9296875e-12,0.1424024251070161,2.9296875e-12,0.1014602899812751,2.9296875e-12,0.07354160548248435,2.9296875e-12,0.05414832858554493,2.9296875e-12,0.04046768480689253,2.9296875e-12,0.03067874770277553,1.696260943328586e-07,8601076.454570904,2.176556066208771e-07,6702096.46000662,2.710993955150494e-07,5401826.126879686,3.289998332700249e-07,4469608.460032726,3.917933424259912e-07,3762587.411842493,4.597262405744894e-07,3219151.604008427,5.323580677965398e-07,2786915.808010385,6.103045813842814e-07,2436495.583466439,6.924608958130863e-07,2150309.145478594,7.794317800270201e-07,1913798.445721961
8.7890625e-12,0.003745122313811129,8.7890625e-12,0.003193957962790423,8.7890625e-12,0.00280452583073205,8.7890625e-12,0.002510135584346335,8.7890625e-12,0.00227568162774095,8.7890625e-12,0.002083472207632695,8.7890625e-12,0.001922773038258344,8.7890625e-12,0.001786417445214687,8.7890625e-12,0.001669271033557087,8.7890625e-12,0.001567613719235642,8.7890625e-12,0.7886145992736171,8.7890625e-12,0.4607575078568971,8.7890625e-12,0.2997241739174054,8.7890625e-12,0.2037542105273683,8.7890625e-12,0.142224417271119,8.7890625e-12,0.1012864857075765,8.7890625e-12,0.07337138810565841,8.7890625e-12,0.05398181200830734,8.7890625e-12,0.04030580824903355,8.7890625e-12,0.03052337074681846,2.858906113711377e-07,8598943.160254117,3.668626504119198e-07,6702819.496770628,4.562219774922743e-07,5401826.6487025,5.527330772313266e-07,4468648.364805783,6.575678987466142e-07,3762247.920483707,7.70367093510654e-07,3219151.819164992,8.911776622477669e-07,2787941.714683095,1.020730115001414e-06,2437002.173063253,1.157510306081687e-06,2150056.263810033,1.30195284395377e-06,1913304.635509765
2.05078125e-11,0.00374288277698934,2.05078125e-11,0.003192207137006943,2.05078125e-11,0.002803064616945502,2.05078125e-11,0.002508830315871252,2.05078125e-11,0.002274469793091431,2.05078125e-11,0.002082319905978255,2.05078125e-11,0.00192166001233776,2.05078125e-11,0.001785331174659433,2.05078125e-11,0.001668203717191241,2.05078125e-11,0.001566560549671577,2.05078125e-11,0.7883941861915991,2.05078125e-11,0.4604950253671565,2.05078125e-11,0.2994094473610631,2.05078125e-11,0.2034444507636147,2.05078125e-11,0.1419232406907462,2.05078125e-11,0.1009927385485938,2.05078125e-11,0.07308417880004196,2.05078125e-11,0.0537013784470667,2.05078125e-11,0.04003370736501397,2.05078125e-11,0.0302619538827731,4.021839722369453e-07,8599661.190298688,5.160535991584575e-07,6703823.236073498,6.413445415864399e-07,5401826.649411537,7.76514390586794e-07,4468206.202235759,9.233664375817241e-07,3764000.090458362,1.081007925684698e-06,3219161.339875216,1.249865218280003e-06,2787955.208214436,1.431070331786295e-06,2436785.87283242,1.622614413742544e-06,2150111.833110576,1.824608766821781e-06,1913177.346106803
3.71748931619572e-11,0.003739682861812416,3.715684663307848e-11,0.003189711150242829,3.714144429259555e-11,0.002800983124867232,3.72329303386283e-11,0.002506962856925903,3.730131912585944e-11,0.002272731648586215,3.732627424557979e-11,0.002080667612582193,3.734303490450444e-11,0.001920064970485654,3.735551725362433e-11,0.001783775396580428,3.736668274839131e-11,0.001666675716007676,3.737789672897569e-11,0.00156505304996846,3.71748931619572e-11,0.7881134408927717,3.715684663307848e-11,0.4601479463440273,3.714144429259555e-11,0.2989902458480813,3.72329303386283e-11,0.2030281748911824,3.730131912585944e-11,0.1415181951897602,3.732627424557979e-11,0.1005961771094204,3.734303490450444e-11,0.07269519607700466,3.735551725362433e-11,0.05332048519243331,3.736668274839131e-11,0.03966314211981219,3.737789672897569e-11,0.02990498850469585,5.184676231705546e-07,8600102.29881528,6.65222210081694e-07,6702270.08519644,8.264671056563065e-07,5401826.649412741,1.000317848784321e-06,4468741.281137746,1.189041245224522e-06,3762563.83740319,1.391647839134566e-06,3219151.846896075,1.608551038286579e-06,2787987.655881002,1.841446972240813e-06,2436652.940168237,2.087706500861238e-06,2150807.497210054,2.347299463549368e-06,1913246.78879914
7.05090544858716e-11,0.003733406788776246,7.045491489923544e-11,0.003184833644125882,7.040870787778665e-11,0.002796915904242908,7.068316601588491e-11,0.0025033156330514,7.088833237757832e-11,0.002269339649957599,7.096319773673937e-11,0.00207744428141793,7.101347971351332e-11,0.001916953899159837,7.105092676087301e-11,0.001780741041766219,7.108442324517393e-11,0.001663695316256449,7.111806518692709e-11,0.001562112085968542,7.05090544858716e-11,0.7875763863942923,7.045491489923544e-11,0.459477415540568,7.040870787778665e-11,0.2981860320254117,7.068316601588491e-11,0.2022262567586985,7.088833237757832e-11,0.1407299204099568,7.096319773673937e-11,0.09982186154009402,7.101347971351332e-11,0.07193347846461466,7.105092676087301e-11,0.05257237811255613,7.108442324517393e-11,0.03893262903711465,7.111806518692709e-11,0.02919803858575677,6.347453097903703e-07,8600263.463124432,8.144253886000796e-07,6702422.219481261,1.011589669726132e-06,5401826.64941275,1.224094509165384e-06,4469402.912468166,1.454817466762379e-06,3762249.880882604,1.702288668632624e-06,3219151.819173245,1.967232683770407e-06,2787995.630121893,2.251846000971985e-06,2436549.156557691,  ,  ,  ,  
1.371773771337004e-10,0.003721170927385439,1.370510514315494e-10,0.003175378062117992,1.369432350481688e-10,0.002789043619206415,1.375836373703981e-10,0.002496272240565535,1.380623588810161e-10,0.002262802424489356,1.382370447190585e-10,0.00207124093313333,1.383543693315311e-10,0.001910972327812682,1.384417457753704e-10,0.001774910387665513,1.385199042387392e-10,0.001657969969475692,1.385984021028299e-10,0.0015564625586766,1.371773771337004e-10,0.7866444228591495,1.370510514315494e-10,0.4583526633869242,1.369432350481688e-10,0.2968372722342763,1.375836373703981e-10,0.2008719090239876,1.380623588810161e-10,0.1393912280163547,1.382370447190585e-10,0.09850010308830388,1.383543693315311e-10,0.07062773051075279,1.384417457753704e-10,0.05128557936679778,1.385199042387392e-10,0.03767275533119991,1.385984021028299e-10,0.02797623464219652,7.510208174289125e-07,8600559.571288189,9.636251804444967e-07,6704053.104924065,1.196712233795957e-06,5401826.649412745,1.44783804260479e-06,4469621.113228198,1.720615867097608e-06,3764000.980245852,2.012929500805871e-06,3219151.819173038,2.325913303350962e-06,2788002.083938683,  ,  ,  ,  ,  ,  
2.705140224293581e-10,0.003697588627738,2.702433244961772e-10,0.003157296871922941,2.700122893889332e-10,0.002774072995833785,2.713845800794245e-10,0.002482971673150925,2.724104118878916e-10,0.002250528290804562,2.727847386836969e-10,0.002059642192388363,2.730361485675666e-10,0.001899821335323351,2.732233838043651e-10,0.001764062609146821,2.733908662258696e-10,0.001647331915885466,2.735590759346355e-10,0.001545972758259412,2.705140224293581e-10,0.7852345468568683,2.702433244961772e-10,0.456654871664598,2.700122893889332e-10,0.294818288155185,2.713845800794245e-10,0.1988104444321659,2.724104118878916e-10,0.1373247683913234,2.727847386836969e-10,0.09643535912293671,2.730361485675666e-10,0.06856758864748182,2.732233838043651e-10,0.04923737066502587,2.733908662258696e-10,0.03565023984259962,2.735590759346355e-10,0.02599840097886541,8.672923218247852e-07,8600638.601944242,1.112788676668223e-06,6702349.472924146,1.381834797865782e-06,5401826.649412745,1.67157065319239e-06,4468673.980318192,1.986290611936458e-06,3762580.839240003,2.323570332979138e-06,3219167.113241985,  ,  ,  ,  ,  ,  ,  ,  
5.371873130206733e-10,0.003653623475535707,5.366278706254328e-10,0.003122756311057455,5.361503980704619e-10,0.002745846636241143,5.389864654974773e-10,0.002458326180213836,5.411065179016426e-10,0.002228120073699975,5.418801266129737e-10,0.002038713857895081,5.423997070396377e-10,0.001879879897926765,5.427866598623546e-10,0.00174479253520296,5.431327902001305e-10,0.001628526777628852,5.434804235982466e-10,0.001527492944470328,5.371873130206733e-10,0.7835874347274221,5.366278706254328e-10,0.4548607751249439,5.361503980704619e-10,0.2927185771401427,5.389864654974773e-10,0.1965750618726451,5.411065179016426e-10,0.1350030016465347,5.418801266129737e-10,0.09404505280626266,5.423997070396377e-10,0.0661231964328976,5.427866598623546e-10,0.04675456489883435,5.431327902001305e-10,0.03314808173326183,5.434804235982466e-10,0.0235009336736304,9.835627578100785e-07,8600872.83966673,1.261990087910617e-06,6702258.820563429,1.566957361935607e-06,5401826.649412745,1.895350683779628e-06,4468266.078823389,2.252065632520996e-06,3762245.538831656,2.634209689316533e-06,3219236.905144576,  ,  ,  ,  ,  ,  ,  ,  
8.802483602948829e-10,0.003607248627202284,9.278041765503279e-10,0.003073960135155838,9.748422895448538e-10,0.002701589352324296,1.015873385127442e-09,0.002417626781468016,1.039246280677867e-09,0.002190637787522951,1.057822187311677e-09,0.002003411442801085,1.075939118868909e-09,0.001845894418639702,1.081913211978334e-09,0.001712209991403153,1.082616638148652e-09,0.001597160011853525,1.083323118925469e-09,0.001496998161810625,8.802483602948829e-10,0.7828653686664369,9.278041765503279e-10,0.4544562239470316,9.748422895448538e-10,0.2923961000155703,1.015873385127442e-09,0.1960945636460328,1.039246280677867e-09,0.1343450376591434,1.057822187311677e-09,0.09321557463279234,1.075939118868909e-09,0.06513966228666659,1.081913211978334e-09,0.04562494878681235,1.082616638148652e-09,0.03188189699434955,1.083323118925469e-09,0.02210857170380471,1.099830027265343e-06,8600299.282003785,1.411193517198049e-06,6703972.234325617,1.752079926005432e-06,5401826.649412738,2.119151142919547e-06,4468785.704488329,2.517864339617223e-06,3764019.694773912,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
